eom,ic_spearman,long_ret,short_ret,qspread,net_qspread,turnover,n_long,n_short,n_universe,gross_exposure
1986-01-31,0.07923428409641399,0.04211122988470033,0.05144595192107935,-0.009334722036379021,-0.011334722036379022,0.9999999999999999,169,169,1692,1.9999999999999998
1986-02-28,0.13242903914136986,0.018086192160408535,0.02785133854013973,-0.009765146379731197,-0.012066057729439784,1.1504556748542936,169,169,1698,2.0
1986-03-31,0.016235761913988532,-0.023592451569751257,-0.01174938870663782,-0.011843062863113436,-0.014156354028284364,1.1566455825854642,174,174,1745,1.9999999999999998
1986-04-30,0.12561146437024498,0.04869752843286826,0.014236846826988853,0.03446068160587941,0.03178430526071285,1.3381881725832776,175,175,1756,2.0
1986-05-31,0.1604487074525364,0.0118921353833966,-0.0308024411227745,0.0426945765061711,0.04021347083183893,1.240552837166085,176,176,1765,2.0
1986-06-30,0.14507437320377303,-0.0348485463462392,-0.09881379460908174,0.06396524826284254,0.0614527572714346,1.2562454957039693,179,179,1798,2.0000000000000004
1986-07-31,0.10351512662472687,0.09603556003579512,0.04424500803956113,0.051790551996233995,0.049003122831719426,1.3937145822572843,178,178,1789,2.0
1986-08-31,0.0657502675425504,-0.07429052371762679,-0.05044004667423588,-0.02385047704339091,-0.026802774558688524,1.4761487576488066,178,178,1786,2.0
1986-09-30,0.1623740354656573,0.05826551695969316,0.02736095386881339,0.030904563090879772,0.02824616986975163,1.3291966105640705,179,179,1797,2.0
1986-10-31,0.0715477345428259,-0.0028872859215796367,-0.009995784793700101,0.007108498872120464,0.004406232521504655,1.3511331753079046,180,180,1802,2.0
1986-11-30,0.0966948708913024,-0.028905498367565355,-0.026735941166455633,-0.0021695572011097217,-0.004582092224350842,1.2062675116205601,180,180,1805,2.0
1986-12-31,-0.07921559269993302,0.09540663157287282,0.11851449416656132,-0.023107862593688494,-0.025436818002992783,1.1644777046521444,182,182,1823,2.0
1987-01-31,-0.09633655591282093,0.030474040944752215,0.08230977680079406,-0.05183573585604184,-0.054319463850214925,1.2418639970865413,185,185,1857,1.6612720730622796
1987-02-28,0.026939280348653446,-0.0018102563216688817,0.02665805130743882,-0.0284683076291077,-0.030577495003856522,1.0545936873744104,188,188,1880,1.66040897291305
1987-03-31,-0.018277194752549093,-0.03998233380726923,-0.019294756773221816,-0.020687577034047416,-0.02254682869623436,0.9296258310934722,193,193,1933,1.7155599121304335
1987-04-30,-0.03874356644475003,-0.009291929095896906,-0.0011945822851593887,-0.008097346810737517,-0.010375557421825603,1.1391053055440423,193,193,1936,1.7277280455423867
1987-05-31,0.1271580323695252,0.05082314118201435,0.01466765118742409,0.036155489994590256,0.03405854985628322,1.0484700691535203,194,194,1942,1.777432238720229
1987-06-30,-0.0354919744730551,0.005782336298234401,0.04622228150931293,-0.04043994521107853,-0.0427018346434445,1.130944716182988,196,196,1967,1.8139298590516697
1987-07-31,0.16851476245378014,0.04478400654033905,-0.0031214786073809455,0.04790548514772,0.04549889898333312,1.2032930821934422,199,199,1993,1.8509622731877247
1987-08-31,0.049296430863969516,-0.02349070710298463,-0.026714549721948994,0.0032238426189643635,0.0010494670918567493,1.087187763553807,200,200,2004,1.8878770314479607
1987-09-30,0.3318530574081392,-0.1424774978435991,-0.3124925854856196,0.1700150876420205,0.1679198512153248,1.047618213347858,202,202,2026,1.9045353049235623
1987-10-31,0.09950950316044326,-0.02774916854938199,-0.04280059078493093,0.015051422235548943,0.012473565641594162,1.2889282969773905,189,189,1894,1.268118779323527
1987-11-30,0.10786136508036048,0.040182736220276204,0.04788611758355176,-0.007703381363275558,-0.009585321698609765,0.9409701676671036,185,185,1857,1.2901238322076747
1987-12-31,0.2520301037203171,0.07536364217442938,0.007605633343798709,0.06775800883063067,0.06603507611909237,0.8614663557691485,189,189,1897,1.3058378127737205
1988-01-31,0.015114492836915391,0.023341336285211373,0.04087027138065636,-0.017528935095444988,-0.01932074611663276,0.895905510593886,192,192,1922,1.3148661338198875
1988-02-29,-0.08094073322187935,-0.017517093037630924,0.018605787640480213,-0.03612288067811113,-0.03774790255342736,0.8125109376581121,194,194,1946,1.3356775414316133
1988-03-31,0.008294188399019409,-0.006760127649390729,-0.010586181892685724,0.003826054243294995,0.0025544929365591646,0.635780653367915,198,198,1980,1.3581238670675129
1988-04-30,0.09619650050389257,0.01114349605794967,-0.01831655680712578,0.02946005286507545,0.02784763783057593,0.8062075172497609,197,197,1973,1.3829503328953812
1988-05-31,0.07546782527862242,0.045693022110078266,0.019422394548706434,0.026270627561371832,0.024533724534682083,0.8684515133448751,196,196,1969,1.407633082705958
1988-06-30,0.1527411012618481,-0.003591512801685311,-0.026428757202488593,0.022837244400803283,0.02088109228014052,0.9780760603313818,199,199,1998,1.425422930590926
1988-07-31,0.10956889501794877,-0.0062037716817494966,-0.024395557102744977,0.01819178542099548,0.016409767957705868,0.8910087316448063,199,199,1995,1.4475770775808048
1988-08-31,0.14370016424902624,0.02546877716047933,0.002223905207328891,0.023244871953150437,0.0216717546503191,0.7865586514156702,197,197,1977,1.4693720984315966
1988-09-30,0.14952500153983103,0.010242320265036145,-0.017142965334029626,0.02738528559906577,0.025841932070067585,0.771676764499094,200,200,2001,1.4915489574648784
1988-10-31,0.09392643414499453,-0.025193868931037568,-0.01633081103591015,-0.008863057895127417,-0.010824920078344449,0.9809310916085157,199,199,1991,1.5141592096431797
1988-11-30,0.007131098624116399,0.009096535074748155,0.021306292159769022,-0.012209757085020867,-0.013803574779713883,0.7969088473465082,198,198,1985,1.531653540101276
1988-12-31,0.0479549479085286,0.03721983733876293,0.046818815499895666,-0.009598978161132733,-0.011271274226059794,0.8361480324635304,199,199,1992,1.5520335431741388
1989-01-31,0.042309629376861294,-0.0028067875099533016,-0.0011168146921773207,-0.001689972817775981,-0.004142283540937037,1.226155361580528,203,203,2030,1.562828743013497
1989-02-28,0.09125283248121498,0.008852823362027584,0.0012909444623970395,0.007561878899630545,0.005488472657706163,1.0367031209621906,202,202,2025,1.5764346544695156
1989-03-31,0.07684362011644698,0.034816139281331274,0.02151067085563032,0.013305468425700955,0.011349578300058383,0.9779450628212856,204,204,2040,1.5800346383647783
1989-04-30,0.04203016424005527,0.031110907063264574,0.042171137220002375,-0.0110602301567378,-0.013297006620093461,1.1183882316778304,204,204,2043,1.5793868099510622
1989-05-31,0.0861822478462822,-0.007875887177026149,-0.034320314042085645,0.026444426865059496,0.024363924455991497,1.0402512045340004,204,204,2048,1.5788956565001304
1989-06-30,0.1666430214356338,0.06729431643154976,0.011703963592612499,0.05559035283893726,0.05349352001297809,1.048416412979589,204,204,2044,1.5771962420253698
1989-07-31,0.08621977708015366,0.025493312481488225,0.011213151125212744,0.014280161356275481,0.01187395959787479,1.2031008792003455,205,205,2055,1.5999494601649644
1989-08-31,0.04643497434432311,-0.01000438406066912,-0.009850543708531162,-0.00015384035213795826,-0.002434303936022119,1.1402317919420804,204,204,2046,1.6407788323200894
1989-09-30,0.03654665908520062,-0.050511449459287705,-0.03925925871058786,-0.011252190748699847,-0.01343567496971678,1.0917421105084664,205,205,2051,1.6846795990604233
1989-10-31,0.018101603718067693,0.00015340439424932437,0.008705237128943406,-0.008551832734694082,-0.01071740135228054,1.0827843087932283,203,203,2031,1.6760906315178559
1989-11-30,0.02929665979110404,0.0017932651313454957,0.008760533568460004,-0.006967268437114508,-0.00921010433405416,1.121417948469826,203,203,2030,1.6762852967504474
1989-12-31,0.040166955735235904,-0.05604977721834738,-0.09036705484618884,0.034317277627841467,0.032055841820022704,1.1307179039093798,202,202,2025,1.6857736038254445
1990-01-31,0.08083205157690197,0.014777553686122281,0.0058531435872905225,0.00892441009883176,0.0064084699829167445,1.2579700579575075,199,199,1993,1.7371818430828367
1990-02-28,0.08093092853187696,0.02783846277628968,0.009389920485552468,0.01844854229073721,0.016019251812473673,1.2146452391317686,198,198,1986,1.77320102196019
1990-03-31,0.06963356514555187,-0.045225096354780295,-0.055811968645367,0.010586872290586705,0.00820299260550428,1.1919398425412124,200,200,2002,1.7736727189144685
1990-04-30,0.07825033403900841,0.07681148571838023,0.06563008383719841,0.011181401881181816,0.008722097691096652,1.2296520950425815,198,198,1984,1.7616548374415766
1990-05-31,0.03271687423689297,-0.008867513577205489,-0.003856421752704283,-0.005011091824501206,-0.007562358655590001,1.2756334155443971,200,200,2009,1.71026430120081
1990-06-30,0.05558288092126096,-0.03738400552653171,-0.047433618835211494,0.010049613308679782,0.007634032195910686,1.2077905563845484,201,201,2017,1.7226768961785484
1990-07-31,-0.013047576942246732,-0.09389749468771975,-0.054890005824333885,-0.03900748886338587,-0.04145050970498669,1.2215104208004117,199,199,1996,1.719021404596618
1990-08-31,-0.07814708397924902,-0.08232127139094936,-0.03029915047281823,-0.05202212091813113,-0.05427866230899171,1.1282706954302908,192,192,1928,1.6718107589467563
1990-09-30,0.11678544101485147,-0.046513286642216475,-0.057678107121403935,0.01116482047918746,0.009174453472198918,0.9951835034942711,187,187,1872,1.6409038900369741
1990-10-31,0.1782054967938539,0.18142917709730932,0.07203610817725183,0.1093930689200575,0.10624871553755956,1.572176691248969,181,181,1813,2.3689658538442444
1990-11-30,0.1244404796227744,0.0621188322492727,0.020646496119439205,0.04147233612983349,0.037854020035068055,1.809158047382717,182,182,1820,2.0520858024042017
1990-12-31,0.07387501585490125,0.09971561638665977,0.048688699256250315,0.05102691713040945,0.04808636290278385,1.4702771138128017,182,182,1825,2.058082017378775
1991-01-31,0.03413535619808292,0.1011189321215112,0.09817989308850156,0.002939039033009641,-0.0003685606399561874,1.6537998364829143,186,186,1860,2.0087987444493955
1991-02-28,0.05220981364434891,0.03729103986987528,0.030922875803226675,0.006368164066648606,0.003568706327757676,1.3997288694454648,194,194,1946,1.893918887391207
1991-03-31,0.10378843069721261,0.02145891829800825,-0.012981522094728587,0.03444044039273684,0.032098927932898036,1.1707562299194016,197,197,1975,1.8901338813233166
1991-04-30,0.08447176986584673,0.044068736747232974,0.03283920142001713,0.011229535327215844,0.008523311947985812,1.353111689615016,199,199,1993,1.891212053782458
1991-05-31,0.14373345537879906,-0.018599290625228436,-0.07285498132628636,0.05425569070105792,0.05166799839856371,1.2938461512471056,200,200,2005,1.8812705955275062
1991-06-30,0.09662508807639378,0.03825638950942553,0.0342472185841077,0.004009170925317829,0.0013310738967160845,1.3390485143008721,199,199,1997,1.8471977659881182
1991-07-31,0.0015810770573090362,0.017900453443096338,0.03335987951579242,-0.01545942607269608,-0.01810299108061133,1.3217825039576234,201,201,2016,1.841777439287509
1991-08-31,0.024982273080517824,-0.01389072974103462,-0.016435757958400868,0.002545028217366248,0.00013346893469779212,1.2057796413342279,202,202,2021,1.8413449517421008
1991-09-30,0.010604495499833761,0.005157459618647837,0.027447693807425663,-0.022290234188777826,-0.024700202866250465,1.2049843387363195,203,203,2030,1.8361756810209835
1991-10-31,0.05765248314978899,-0.054544987707583974,-0.0663834293910448,0.011838441683460828,0.009459234971763198,1.189603355848815,204,204,2049,1.8343372715931712
1991-11-30,0.16024403531230985,0.10981051444131104,0.06181095180478666,0.047999562636524384,0.045833401688275696,1.0830804741243445,205,205,2056,1.79196122800769
1991-12-31,0.08202692744917743,0.05318356693727155,0.02162243887419733,0.03156112806307422,0.028941383762321592,1.3098721503763135,208,208,2089,1.7312796768427234
1992-01-31,0.018725300906558377,0.015137138689912547,0.031190386820492858,-0.01605324813058031,-0.01894425419787887,1.44550303364928,217,217,2172,1.7359447951006521
1992-02-29,0.10998751604728486,-0.017520047752985192,-0.047332964418339826,0.029812916665354634,0.027766195228927548,1.023360718213543,220,220,2208,1.732819312896669
1992-03-31,0.14209817341966297,0.01603055648403816,-0.03428949125277019,0.05032004773680836,0.048252405946145806,1.0338208953312749,224,224,2240,1.7152048518624508
1992-04-30,-0.010897366621214648,0.009815633086827879,0.025843301543233006,-0.016027668456405127,-0.018405891573338055,1.1891115584664642,222,222,2229,1.7126801622210546
1992-05-31,0.11946465220171963,-0.01536903764111617,-0.03017507889423915,0.01480604125312298,0.012670852686138191,1.0675942834923942,224,224,2244,1.7198063607683196
1992-06-30,0.07305435844299302,0.042719027320699036,0.02779525170308979,0.014923775617609245,0.01284376486736093,1.0400053751241576,223,223,2237,1.7196536589003248
1992-07-31,0.10822905398625884,-0.016888036734756653,-0.04439111037369123,0.027503073638934575,0.025131651811819648,1.1857109135574633,225,225,2257,1.7249904012053605
1992-08-31,0.058633237501910976,0.010656728505289169,0.02347292112271287,-0.0128161926174237,-0.0149848291415955,1.0843182620859007,223,223,2239,1.7128247067759448
1992-09-30,0.03856020042267277,0.01326612672127118,0.013472539731554092,-0.00020641301028291245,-0.002186128474468707,0.9898577320928971,225,225,2254,1.712100945798265
1992-10-31,-0.052314606886366403,0.04518905734382757,0.07791727197837733,-0.032728214634549765,-0.035096390557838524,1.18408796164438,227,227,2277,1.7367005634298107
1992-11-30,0.07354286616186426,0.022574633772855124,0.006818548699336159,0.015756085073518965,0.013486311061695597,1.1348870059116836,230,230,2309,1.703683060439336
1992-12-31,0.017313767048081175,0.0108136125086625,0.0027230804620998845,0.008090532046562616,0.006125981299124087,0.9822753737192647,235,235,2354,1.7043147651959945
1993-01-31,0.1030887045471849,0.0060259059903440245,-0.016897977481095124,0.022923883471439147,0.02069647527097006,1.1137041002345436,237,237,2377,1.7757087557050164
1993-02-28,0.028263060740610524,0.022661742225808162,0.01528770029299069,0.007374041932817472,0.0055382391432681945,0.917901394774639,238,238,2382,1.77234271550816
1993-03-31,0.017943397314672663,-0.023093513738379347,-0.016567262384497565,-0.006526251353881782,-0.00848811956307673,0.9809341045974737,244,244,2442,1.7722359869483688
1993-04-30,0.025425631101815848,0.02864327004366229,0.04098412214890856,-0.012340852105246266,-0.014545866268905687,1.1025070818297105,244,244,2440,1.8024934060530822
1993-05-31,0.10752523472368145,0.022640194927763098,-0.013838186095467393,0.03647838102323049,0.03441136221048764,1.0335094063714232,246,246,2469,1.8344401081001576
1993-06-30,0.019843175852504516,-0.012183394853035052,-0.009739388783869495,-0.0024440060691655573,-0.004597441828765873,1.0767178798001575,251,251,2515,1.8358319109367092
1993-07-31,-0.0015251064976789372,0.037510553972608864,0.04400051822735348,-0.006489964254744615,-0.00851456354500131,1.0122996451283481,252,252,2529,1.8640819472358314
