,value
gross_ann_ret,0.173
gross_ann_vol,0.1248
gross_sharpe,1.3859
gross_max_dd,-0.3498
gross_win_rate,0.7155
net_ann_ret,0.163
net_ann_vol,0.1247
net_sharpe,1.3072
net_max_dd,-0.3613
net_win_rate,0.7008
ic_mean_pearson,0.0353
ic_mean_spearman,0.0276
icir_pearson,1.545
icir_spearman,1.2389
n_months,478.0
tc_bps,10.0
