eom,ic_pearson,ic_spearman,best_iteration,n_train,long_ret,short_ret,qspread,net_qspread,turnover,n_long,n_short,n_universe
1981-02-28,-0.01793435576657053,0.025821981974933374,73,2675,0.07069605498726593,0.07010958266404493,0.0005864723232209962,-0.0014135276767790039,1.0,267,267,2678
1981-03-31,0.09909239738566254,0.14635995078058606,56,2678,0.02401168934126394,-0.04010570481635688,0.06411739415762081,0.062455684120446095,0.8308550185873607,269,269,2690
1981-04-30,0.12870335676717878,0.09460717131668553,27,2690,0.050734076960966545,-0.006716243287360595,0.05745032024832714,0.05602281095464685,0.7137546468401488,269,269,2696
1981-05-31,-0.14245606291703994,-0.20832840445437803,41,2696,-0.06423658068703704,-0.006689266856296298,-0.05754731383074074,-0.05891768420111111,0.6851851851851851,270,270,2706
1981-06-30,-0.028373532235698194,0.049756525155343644,187,2706,-0.040821465238007386,-0.02389477766273063,-0.016926687575276756,-0.01872742558265683,0.9003690036900369,271,271,2714
1981-07-31,0.13957377353812556,0.2230437102035728,19,2714,-0.06968273974117647,-0.12543117963566175,0.055748439894485274,0.05414917518860292,0.7996323529411764,272,272,2723
1981-08-31,0.1577685580601442,0.2165720800923147,41,2723,-0.07192202779632353,-0.12062502587573529,0.04870299807941175,0.047155203961764695,0.7738970588235294,272,272,2721
1981-09-30,-0.11119234830159144,-0.07430996672928544,46,2721,0.05034546307675277,0.08669145308708487,-0.0363459900103321,-0.037700233552767526,0.6771217712177122,271,271,2718
1981-10-31,-0.08055911880371723,-0.08399726675116986,61,2718,0.016371197091911767,0.029280625722058824,-0.012909428630147057,-0.014677810983088234,0.8841911764705883,272,272,2721
1981-11-30,-0.015819898737924318,0.014965252613267812,10,2721,-0.04236787936066177,-0.03846575014705882,-0.003902129213602945,-0.005619040978308828,0.8584558823529411,272,272,2722
1981-12-31,-0.003156983470878418,0.06768575622662501,45,2722,-0.016729455845454544,-0.020887116193454545,0.004157660348000001,0.0024812967116363644,0.8381818181818181,275,275,2759
1982-01-31,0.17845108875387286,0.16111225521655437,33,2759,-0.03091625394693141,-0.10126944011191336,0.07035318616498194,0.06869975656209386,0.8267148014440433,277,277,2773
1982-02-28,0.10623275232598985,0.14416042656104514,44,2773,0.005069180123188405,-0.052600545033333335,0.05766972515652174,0.056336391823188406,0.6666666666666667,276,276,2761
1982-03-31,-0.011042172077449746,-0.0005667823790240465,19,2761,0.05882470766868327,0.049461666181138786,0.009363041487544486,0.00797869985053381,0.6921708185053381,281,281,2817
1982-04-30,-0.04879665722554769,-0.014697473230236542,17,2817,-0.036777521347330956,-0.025654732023843416,-0.01112278932348754,-0.012649479714946614,0.7633451957295374,281,281,2814
1982-05-31,0.03207866082827284,0.030693806376043808,26,2814,-0.03248475674214286,-0.05648012945642857,0.023995372714285715,0.022302515571428573,0.8464285714285714,280,280,2806
1982-06-30,0.13608122171010814,0.17579022739384512,36,2806,0.00915327791779359,-0.05749703700676156,0.06665031492455514,0.06508091990676154,0.7846975088967971,281,281,2813
1982-07-31,-0.06802966326864845,-0.14260120904696855,58,2813,0.05236003587535715,0.08191819417928571,-0.029558158303928564,-0.030861729732499992,0.6517857142857142,280,280,2807
1982-08-31,-0.09262417855990457,-0.10275905232077283,185,2807,-0.00476162250358423,0.026748793480286737,-0.03151041598387097,-0.03332762028494624,0.9086021505376344,279,279,2797
1982-09-30,-0.0116834649290545,0.08766688954906801,34,2797,0.17047545934532374,0.12908665775827335,0.04138880158705038,0.03962980878129499,0.8794964028776979,278,278,2789
1982-10-31,0.2141150328793712,0.21006749312967776,43,2789,0.16466661322329748,0.03726650529283154,0.12740010793046594,0.12583021545734766,0.7849462365591398,279,279,2795
1982-11-30,0.007167029666508507,-0.04218605755089494,192,2795,0.028672212001075267,0.023310153108602145,0.005362058892473123,0.0040251413297491085,0.6684587813620071,279,279,2795
1982-12-31,0.17377096040701867,0.08825326319447642,9,2795,0.1392165186403571,0.06788048059892858,0.07133603804142853,0.06969318089857139,0.8214285714285714,280,280,2803
1983-01-31,0.07646649158015792,0.04584230292923699,71,2803,0.06491169027071429,0.034002780852500004,0.030908909418214288,0.029437480846785716,0.7357142857142858,280,280,2805
1983-02-28,0.08362428574606166,0.08211598257824115,251,2805,0.051909314002846985,0.02005069673202847,0.03185861727081851,0.03016466709288257,0.8469750889679716,281,281,2811
1983-03-31,0.07894940345212129,0.059409496827581884,69,2811,0.08776499054628975,0.06386248204381627,0.023902508502473482,0.02230886892650175,0.7968197879858657,283,283,2832
1983-04-30,0.06479467045071229,0.061225366682594644,20,2832,0.07963901901964912,0.051262475069473686,0.028376543950175435,0.02687478956421052,0.7508771929824561,285,285,2851
1983-05-31,0.11896179533709803,0.08036019453639563,29,2851,0.06636232201578948,0.009524818229473686,0.056837503786315795,0.0552094336108772,0.8140350877192982,285,285,2856
1983-06-30,-0.05242413636568526,-0.1420850311764973,70,2856,-0.036307464196180556,-0.004755303177083333,-0.03155216101909722,-0.032763966574652775,0.6059027777777778,288,288,2882
1983-07-31,0.16290015802186789,0.14450293799611053,26,2882,-0.02281188523402062,-0.06809370178487972,0.045281816550859104,0.043546421361855665,0.8676975945017182,291,291,2912
1983-08-31,0.06776859709356631,0.116870901637953,59,2912,0.008133281869624573,-0.02616838499078498,0.03430166686040956,0.03266002863515358,0.8208191126279863,293,293,2936
1983-09-30,0.22925541055237225,0.278516478785975,34,2936,-0.016130505093581084,-0.1090267729533784,0.09289626785979732,0.09142667326520272,0.7347972972972974,296,296,2963
1983-10-31,-0.09929570930533965,-0.11435707176004987,69,2963,0.009169951127118646,0.054383885565762714,-0.04521393443864407,-0.04661393443864407,0.7,295,295,2953
1983-11-30,-0.0356290844152228,-0.02165863164401785,102,2953,-0.03894203602272727,-0.013399571831818185,-0.025542464190909088,-0.02731519146363636,0.8863636363636364,22,22,225
1983-12-31,0.10362180624971373,0.03865462450346129,28,225,0.046166038180952385,0.001693347976190473,0.04447269020476191,0.042758404490476194,0.8571428571428572,21,21,219
