,value
gross_ann_ret,0.1844
gross_ann_vol,0.2208
gross_sharpe,0.8351
gross_max_dd,-0.427
gross_win_rate,0.6325
net_ann_ret,0.1651
net_ann_vol,0.2208
net_sharpe,0.7478
net_max_dd,-0.4324
net_win_rate,0.6175
ic_mean_pearson,0.0239
ic_mean_spearman,0.0269
icir_pearson,0.6772
icir_spearman,0.6902
n_months,536.0
tc_bps,10.0
