eom,ic_spearman,long_ret,short_ret,qspread,net_qspread,turnover,n_long,n_short,n_universe
1986-01-31,0.08144342250064969,0.05557270312511848,0.040255490346919436,0.015317212778199044,0.013317212778199044,1.0,211,211,2115
1986-02-28,0.1327439575218911,0.036189682510849065,0.012489629683490565,0.0237000528273585,0.022667033959433973,0.5165094339622641,212,212,2122
1986-03-31,0.02221322553838488,0.008551298914678897,0.005068174723394497,0.0034831241912844004,0.0024372526316513727,0.5229357798165137,218,218,2182
1986-04-30,0.12688174489627038,0.05040200411324201,0.017587198117351602,0.032814805995890414,0.031641290014155256,0.58675799086758,219,219,2195
1986-05-31,0.16185689243871784,0.014702720844090907,-0.023626974385,0.03832969522909091,0.037238786138181816,0.5454545454545454,220,220,2205
1986-06-30,0.15322081673953597,-0.05007922218883928,-0.10838693509330358,0.0583077129044643,0.0572452129044643,0.53125,224,224,2248
1986-07-31,0.09692675941684224,0.06376394503901345,0.020370699699551572,0.04339324533946187,0.04224077897174887,0.5762331838565022,223,223,2237
1986-08-31,0.06738255391043539,-0.04627418687892376,-0.07107803737757847,0.024803850498654703,0.02361102538654708,0.5964125560538117,223,223,2233
1986-09-30,0.16104981576075025,0.04520897463035715,0.01825826833125,0.026950706299107147,0.025763206299107146,0.59375,224,224,2245
1986-10-31,0.06985992285756612,-0.007002401415555554,-0.019263881307111114,0.01226147989155556,0.011034813224888893,0.6133333333333333,225,225,2253
1986-11-30,0.0947160031513361,-0.023876478946666668,-0.05826803826711111,0.034391559320444444,0.033307114876,0.5422222222222222,225,225,2256
1986-12-31,-0.08229021177175634,0.09754758476123347,0.11966271086916301,-0.02211512610792954,-0.023216447693832624,0.5506607929515418,227,227,2279
1987-01-31,-0.09990334152181753,0.04360571208441558,0.09553337307835497,-0.05192766099393939,-0.0531397822060606,0.6060606060606061,231,231,2319
1987-02-28,0.021248020375074724,0.013592930420851064,0.021020236987659577,-0.007427306566808513,-0.008380498056170216,0.4765957446808511,235,235,2350
1987-03-31,-0.015908106403089997,-0.03918248966431536,-0.028892803048547716,-0.010289686615767644,-0.0112730891053942,0.491701244813278,241,241,2417
1987-04-30,-0.047759391870087535,-0.007053901446518674,-0.0007397113058091277,-0.006314190140709546,-0.007368132049423239,0.5269709543568464,241,241,2419
1987-05-31,0.11694589567853252,0.04539768199504133,0.01702445761446281,0.02837322438057852,0.027406282231818187,0.48347107438016534,242,242,2428
1987-06-30,-0.04416511784848625,0.01695020855755102,0.03176921746571428,-0.014819008908163261,-0.01590472319387755,0.5428571428571429,245,245,2459
1987-07-31,0.16617313043564924,0.04266547908594377,-0.004573314421285141,0.04723879350722891,0.046158472222088354,0.5401606425702811,249,249,2491
1987-08-31,0.04854115969520812,-0.017359343912,-0.029198055214,0.011838711302,0.010814711301999999,0.512,250,250,2505
1987-09-30,0.3400278005270871,-0.17199696382569168,-0.32728217921620556,0.15528521539051388,0.15429707309802376,0.49407114624505927,253,253,2533
1987-10-31,0.10151938637770798,-0.0241660173529661,-0.06805848959449154,0.04389247224152544,0.04249416715677968,0.6991525423728813,236,236,2368
1987-11-30,0.10465785437697457,0.08046441315517242,0.020182046545258618,0.0602823666099138,0.05902374592025862,0.6293103448275862,232,232,2321
1987-12-31,0.25663203639680704,0.09905327214641349,0.009292603243459914,0.08976066890295357,0.08845265202531645,0.6540084388185654,237,237,2372
1988-01-31,0.014518720951067073,0.06524707866,0.04978610624666667,0.01546097241333333,0.014219305746666662,0.6208333333333333,240,240,2403
1988-02-29,-0.08592573668962657,0.011598104028806585,0.03713554424485596,-0.025537440216049374,-0.02665678177983538,0.5596707818930041,243,243,2432
1988-03-31,0.006122017793261973,0.004188289609716599,-0.00834203483805668,0.01253032444777328,0.011542470196761134,0.4939271255060729,247,247,2474
1988-04-30,0.10114736419602427,-0.0005974945024390246,-0.0325434799902439,0.031945985487804876,0.030893139959349593,0.5264227642276422,246,246,2466
1988-05-31,0.07396150361031165,0.062265334788617885,0.047085134976829264,0.01518019981178862,0.014204590055691059,0.4878048780487805,246,246,2462
1988-06-30,0.15545233752523796,-0.009964906567469881,-0.02694146411285141,0.016976557545381528,0.015900252324497995,0.5381526104417671,249,249,2498
1988-07-31,0.11032736702652157,-0.009471343739759035,-0.037306960700803214,0.02783561696104418,0.026779392061445785,0.5281124497991967,249,249,2494
1988-08-31,0.14126596952956932,0.029218301232388666,0.003605366128744941,0.025612935103643725,0.024665566682591095,0.4736842105263158,247,247,2471
1988-09-30,0.15280964162771435,0.0101328902204,-0.0362314933412,0.046364383561600005,0.045428383561600005,0.468,250,250,2501
1988-10-31,0.09680125680292719,-0.023489554898712902,-0.05323014123104838,0.02974058633233548,0.028663973429109674,0.5383064516129032,248,248,2489
1988-11-30,0.00655580990536209,0.016554379627419357,0.027513844085080643,-0.010959464457661286,-0.011927206393145156,0.4838709677419355,248,248,2482
1988-12-31,0.043723677842476896,0.04473152017028113,0.024528607297590356,0.020202912872690777,0.019210945001204835,0.4959839357429719,249,249,2490
1989-01-31,0.03247817565847237,0.00278511528458498,-0.009866147609486167,0.012651262894071147,0.011244148269565218,0.7035573122529644,253,253,2538
1989-02-28,0.08773911909005298,0.02425322418339921,0.005802942463636363,0.018450281719762845,0.01724079555375494,0.6047430830039525,253,253,2532
1989-03-31,0.08481243887441775,0.03808672495866142,0.02937305808622047,0.008713666872440955,0.007571934588976387,0.5708661417322834,254,254,2549
1989-04-30,0.04439316262296252,0.03618413778078431,0.025235617529019608,0.010948520251764703,0.009717147702745095,0.615686274509804,255,255,2554
1989-05-31,0.08563126912492312,-0.0045421604570312505,-0.034150957584375,0.029608797127343753,0.028448640877343754,0.580078125,256,256,2560
1989-06-30,0.1710888631418313,0.061922369550196074,0.022051599333725486,0.03987077021647059,0.03874528002039216,0.5627450980392157,255,255,2553
1989-07-31,0.08719747567790631,0.025922943642968748,0.002664712305078125,0.023258231337890622,0.022047293837890624,0.60546875,256,256,2568
1989-08-31,0.043110699847905734,0.00567595540745098,-0.0002738290784313729,0.005949784485882353,0.004820372721176471,0.5647058823529412,255,255,2558
1989-09-30,0.03390478471218378,-0.05626069577578125,-0.0622614624359375,0.006000766660156247,0.004899204160156247,0.55078125,256,256,2564
1989-10-31,0.028259265791151095,-0.009621648117786562,-0.0008473343169960499,-0.008774313800790513,-0.009845460045849802,0.5355731225296443,253,253,2539
1989-11-30,0.041568279547381445,-0.008263090640711462,-0.01992433252885376,0.011661241888142297,0.010570332797233207,0.5454545454545454,253,253,2537
1989-12-31,0.026317760760898003,-0.063927305027668,-0.09320070416719368,0.029273399139525688,0.028170632341106717,0.5513833992094861,253,253,2532
1990-01-31,0.08107079013050437,0.029910551499196785,0.0026417400819277116,0.027268811417269074,0.026007767240562245,0.6305220883534137,249,249,2492
1990-02-28,0.08482161825941491,0.027894888436290323,0.009362379839919355,0.01853250859637097,0.017314766660887097,0.6088709677419355,248,248,2482
1990-03-31,0.06707968269373597,-0.0368090055732,-0.0552711011464,0.0184620955732,0.0172620955732,0.6000000000000001,250,250,2503
1990-04-30,0.0904666515600444,0.06548588022016129,0.052933801378225814,0.012552078841935474,0.011350465938709668,0.6008064516129032,248,248,2480
1990-05-31,0.036140857237078085,-0.006897884872908369,-0.005898080970916336,-0.0009998039019920328,-0.0022069752167330685,0.6035856573705178,251,251,2510
1990-06-30,0.06245093173421405,-0.03785298459087301,-0.05537529196428572,0.01752230737341271,0.016478656579761917,0.5218253968253967,252,252,2522
1990-07-31,-0.016300327086934872,-0.10559817127228915,-0.12585993972008033,0.02026176844779118,0.019105141941767084,0.5783132530120483,249,249,2495
1990-08-31,-0.07237394689091023,-0.08543201164666667,-0.06663776036541666,-0.018794251281250007,-0.019973417947916672,0.5895833333333333,240,240,2409
1990-09-30,0.12724520785811344,-0.04417278989786324,-0.10429617442222222,0.06012338452435898,0.059050734951709406,0.5363247863247864,234,234,2340
