eom,ic_pearson,ic_spearman,best_iteration,n_train,long_ret,short_ret,qspread,net_qspread,turnover,n_long,n_short,n_universe
1981-02-28,-0.006354228612766682,0.03674069760772014,63,2675,0.07485389653108614,0.05626601773071161,0.018587878800374526,0.016587878800374524,1.0,267,267,2678
1981-03-31,0.10465730479440358,0.1593821406683923,38,2678,0.03159974127806691,-0.03133798012527881,0.06293772140334572,0.06127972883828996,0.828996282527881,269,269,2690
1981-04-30,0.12836059347831108,0.08964898396083236,28,2690,0.04509072147695167,-0.00016181065464684018,0.045252532131598515,0.04383245778215614,0.7100371747211895,269,269,2696
1981-05-31,-0.14975417624178586,-0.215947799187807,33,2696,-0.07549636524814815,-0.005624521616666666,-0.06987184363148148,-0.07112369548333333,0.625925925925926,270,270,2706
1981-06-30,-0.031171502217013793,0.04693385871219626,183,2706,-0.04079385332619927,-0.01840916485166052,-0.02238468847453875,-0.024237086998523987,0.9261992619926199,271,271,2714
1981-07-31,0.1460661826649953,0.22169841138281154,30,2714,-0.07425367788419118,-0.13001512283897057,0.05576144495477939,0.05416218024889703,0.7996323529411764,272,272,2723
1981-08-31,0.16139411997556635,0.21900389129795605,51,2723,-0.07472916843750001,-0.11739965202977942,0.042670483592279415,0.041155777709926476,0.7573529411764706,272,272,2721
1981-09-30,-0.0945782007731904,-0.057618381291611745,112,2721,0.04245849210073801,0.07470645611771218,-0.03224796401697417,-0.03362434778081181,0.6881918819188192,271,271,2718
1981-10-31,-0.07409331756631514,-0.07835927982741198,62,2718,0.013308625486397059,0.027349552942279413,-0.014040927455882354,-0.01580930980882353,0.8841911764705883,272,272,2721
1981-11-30,-0.0233938017557284,0.05133559615637059,1,2721,-0.033674261377573525,-0.02792516155882353,-0.0057490998187499955,-0.007510129230514702,0.880514705882353,272,272,2722
1981-12-31,0.028804337225671127,0.10375158808287818,36,2722,-0.016233844572363636,-0.030963173911272724,0.014729329338909088,0.013103874793454541,0.8127272727272727,275,275,2759
1982-01-31,0.17957230623673018,0.1847660178291167,53,2759,-0.035806114002888086,-0.10424939467906136,0.06844328067617328,0.06685844313104693,0.7924187725631768,277,277,2773
1982-02-28,0.07337678733479985,0.11896218186130651,109,2773,-0.0057103898942029,-0.04150464980869566,0.035794259914492754,0.03446817295797101,0.6630434782608696,276,276,2761
1982-03-31,0.011566923066920034,0.015622191422103995,41,2761,0.052821844025266906,0.04590991644733096,0.006911927577935947,0.005545379535231321,0.6832740213523132,281,281,2817
1982-04-30,-0.029623188348834987,0.02135532028975978,66,2817,-0.027108868256939502,-0.054938369463701064,0.027829501206761562,0.026260106188967968,0.7846975088967971,281,281,2814
1982-05-31,0.058520175222791376,0.049849500290260106,46,2814,-0.019669866073571428,-0.05915605996428572,0.03948619389071429,0.037804051033571436,0.8410714285714286,280,280,2806
1982-06-30,0.12269950404040217,0.149143915897437,26,2806,0.011852590041992881,-0.052685732365124555,0.06453832240711743,0.06301874945338078,0.7597864768683273,281,281,2813
1982-07-31,-0.059986623041053934,-0.14496159103066564,31,2813,0.04792365213142857,0.07634766675571429,-0.028424014624285725,-0.029666871767142867,0.6214285714285714,280,280,2807
1982-08-31,-0.09319068552449551,-0.10906196759503872,88,2807,-0.004123902554121867,0.03924488140537634,-0.043368783959498204,-0.04524333593082437,0.9372759856630825,279,279,2797
1982-09-30,-0.033584461905212686,0.06535992549230679,54,2797,0.16534367510467626,0.14383364573057553,0.021510029374100736,0.019722259589928074,0.8938848920863309,278,278,2789
1982-10-31,0.22174706381918402,0.21081799011737068,132,2789,0.1701099849799283,0.0448999825483871,0.1252100024315412,0.12371179454623654,0.7491039426523297,279,279,2795
1982-11-30,0.039807282244326885,-0.02982402804206953,40,2795,0.03339201865698924,0.025705028302150535,0.007686990354838708,0.006385915086021504,0.6505376344086021,279,279,2795
1982-12-31,0.16383501560151756,0.0920960289498673,20,2795,0.12015238415964287,0.08136947765750001,0.03878290650214286,0.037125763645000004,0.8285714285714285,280,280,2803
1983-01-31,0.07365983461154739,0.05147652603138589,73,2803,0.06951812660857142,0.033256235375,0.03626189123357142,0.03477974837642856,0.7410714285714286,280,280,2805
1983-02-28,0.09720062310092939,0.10072380260189132,117,2805,0.05856184422491103,0.010167413666903916,0.048394430558007115,0.04680724194590747,0.7935943060498221,281,281,2811
1983-03-31,0.08438614967558498,0.07476379240716098,17,2811,0.08386444770459364,0.06225544277844525,0.021609004926148395,0.02006836888374557,0.7703180212014133,283,283,2832
1983-04-30,0.11123435307093213,0.08841247888078953,17,2832,0.10597566006,0.04864396973789475,0.05733169032210526,0.05575976049754385,0.7859649122807018,285,285,2851
1983-05-31,0.13006491951382318,0.08579563543244693,22,2851,0.05514316848807017,0.0030917111154385966,0.052051457372631574,0.050490053863859644,0.7807017543859649,285,285,2856
1983-06-30,-0.041326810278621805,-0.13414722962172276,28,2856,-0.032036227345833335,0.006274445103125,-0.03831067244895833,-0.039446089115625,0.5677083333333333,288,288,2882
1983-07-31,0.16180728724061408,0.14752643213025735,39,2882,-0.024851536284879724,-0.07052196904742268,0.045670432762542956,0.043969401834707905,0.8505154639175257,291,291,2912
