,value
gross_ann_ret,0.1865
gross_ann_vol,0.2221
gross_sharpe,0.8395
gross_max_dd,-0.4282
gross_win_rate,0.6381
net_ann_ret,0.1672
net_ann_vol,0.2221
net_sharpe,0.7531
net_max_dd,-0.4716
net_win_rate,0.625
ic_mean_pearson,0.0257
ic_mean_spearman,0.0285
icir_pearson,0.7295
icir_spearman,0.7309
n_months,536.0
tc_bps,10.0
