eom,ic_pearson,ic_spearman,best_alpha,n_nonzero,n_train,n_features,scoring_year,train_end_year,long_ret,short_ret,qspread,net_qspread,turnover,n_long,n_short,n_universe
1986-01-31,0.1130652497390158,0.09799653859888789,0.002003405301784282,7,149779,83,1986,1985,0.08325212807915859,0.049495044955630584,0.03375708312352801,0.031757083123528006,1.0,169,169,1692
1986-02-28,0.047353548926957596,0.062195308487142296,0.002003405301784282,7,149779,83,1986,1985,0.04464609152167684,0.05326585811051528,-0.008619766588838437,-0.010390971211089221,0.8856023111253921,169,169,1698
1986-03-31,0.005492051547826238,0.0012775192260891953,0.002003405301784282,7,149779,83,1986,1985,-0.007181607596693318,0.009906158884476204,-0.01708776648116952,-0.019041500039695486,0.9768667792629815,174,174,1745
1986-04-30,0.038536859183439104,0.05643082242460385,0.002003405301784282,7,149779,83,1986,1985,0.055506886480467574,0.04962619974508313,0.005880686735384444,0.004389143320614464,0.7457717073849902,175,175,1756
1986-05-31,-0.0003712514408996652,0.009893545494617796,0.002003405301784282,7,149779,83,1986,1985,0.005191911565584893,-0.018110617584488967,0.02330252915007386,0.02162373174395398,0.8393987030599397,176,176,1765
1986-06-30,-0.010117122980524322,-0.01760868603319482,0.002003405301784282,7,149779,83,1986,1985,-0.10048070760231106,-0.10012739915734221,-0.00035330844496885006,-0.0022338233359560167,0.9402574454935833,179,179,1798
1986-07-31,-0.12614219352922232,-0.14109211212834272,0.002003405301784282,7,149779,83,1986,1985,0.029675321496329305,0.08798655128612695,-0.05831122978979765,-0.060080507619827035,0.8846389150146922,178,178,1789
1986-08-31,0.029598312302446365,0.021043934066235025,0.002003405301784282,7,149779,83,1986,1985,-0.09305100150419975,-0.09540396399854584,0.002352962494346092,0.0006150642103675821,0.8689491419892549,178,178,1786
1986-09-30,0.028924732525226184,-0.02138536455327482,0.002003405301784282,7,149779,83,1986,1985,0.020120111741879103,0.05248571793835915,-0.032365606196480046,-0.034331703227917405,0.9830485157186797,179,179,1797
1986-10-31,0.0015092156365162227,0.019171001451006017,0.002003405301784282,7,149779,83,1986,1985,0.0020345702190582397,-0.00042597278877925084,0.0024605430078374906,0.0008053526564011028,0.8275951757181939,180,180,1802
1986-11-30,0.00041007704832227664,0.030507955072964926,0.002003405301784282,7,149779,83,1986,1985,-0.025832889437508083,-0.04197906300303428,0.016146173565526195,0.014371129012869749,0.8875222763282236,180,180,1805
1986-12-31,-0.009220610715347383,-0.00438087150948638,0.002003405301784282,7,149779,83,1986,1985,0.1274619100048467,0.11130709936813826,0.016154810636708428,0.014426675196690879,0.8640677200087743,182,182,1823
1987-01-31,-0.016662242543503323,-0.022346073922854946,0.0012510548061084835,12,179922,89,1987,1986,0.05503773045084234,0.08728553098767694,-0.0322478005368346,-0.03384755239237239,0.7998759277688956,185,185,1857
1987-02-28,0.08609041631442342,0.09501879480174236,0.0012510548061084835,12,179922,89,1987,1986,0.031883440183364364,0.005539020807138575,0.026344419376225787,0.024955664393586204,0.694377491319791,188,188,1880
1987-03-31,0.054741122814099874,0.06468987441123585,0.0012510548061084835,12,179922,89,1987,1986,8.323232027712506e-05,-0.04511280754466617,0.0451960398649433,0.04332456598815723,0.9357369383930338,193,193,1933
1987-04-30,0.013466369108325936,0.06059705145946068,0.0012510548061084835,12,179922,89,1987,1986,-0.00033150690260668934,-0.008396951043065853,0.008065444140459163,0.006198801556347866,0.9333212920556486,193,193,1936
1987-05-31,-0.01607071888475887,-0.007635369450903202,0.0012510548061084835,12,179922,89,1987,1986,0.01825807258166053,0.03721069062077488,-0.01895261803911435,-0.020225531964049328,0.6364569624674874,194,194,1942
1987-06-30,0.13327918980965656,0.1682310348026752,0.0012510548061084835,12,179922,89,1987,1986,0.05219184569102423,0.001350332658341215,0.050841513032683014,0.049290259648514335,0.7756266920843405,196,196,1967
1987-07-31,-0.028385630649405538,-0.03741207244457212,0.0012510548061084835,12,179922,89,1987,1986,0.029222263234024125,0.04111340470993419,-0.011891141475910062,-0.013490313111560827,0.7995858178253826,199,199,1993
1987-08-31,0.10338544380127379,0.1274626662978895,0.0012510548061084835,12,179922,89,1987,1986,-0.01493123747217123,-0.024695612010193702,0.009764374538022473,0.008196937565716836,0.7837184861528187,200,200,2004
1987-09-30,-0.01801337019120514,-0.03553629182462259,0.0012510548061084835,12,179922,89,1987,1986,-0.27820857255532194,-0.298731648846041,0.020523076290719033,0.01882798596440657,0.8475451631562319,202,202,2026
