year,feature,gain,weight,cover,gain_norm
1990,f215,14.71953010559082,11.666666666666666,97603.34375,0.02746073082928613
1990,f237,13.812609195709229,8.666666666666666,98400.36588541667,0.025768780691540205
1990,f217,11.032962958017984,8.333333333333334,93114.9921875,0.02058307730384274
1990,f178,8.089518229166666,6.0,85757.94140625,0.015091791724069622
1990,f4,5.853477478027344,63.666666666666664,78620.37239583333,0.010920237825957801
1990,f12,5.758108297983806,31.666666666666668,91815.140625,0.010742317242637644
1990,f198,5.626909971237183,5.0,62841.430989583336,0.010497553862951134
1990,f22,5.476982752482097,61.0,70850.33854166667,0.010217849893552467
1990,f218,5.33993140856425,4.333333333333333,40919.361653645836,0.009962167134787606
1990,f11,5.255358060201009,10.666666666666666,62212.916666666664,0.009804387237054844
1990,f236,4.964147647221883,3.3333333333333335,33471.446614583336,0.009261105576014072
1990,f187,4.691703160603841,5.0,43310.321614583336,0.008752833595911974
1990,f186,4.424994548161824,3.0,35363.466145833336,0.00825526245311165
1990,f213,4.171057462692261,22.0,91810.62760416667,0.0077815178497425185
1990,f229,4.104974428812663,12.666666666666666,31212.631510416668,0.00765823345188929
1990,f2,4.049530069033305,2.0,31361.397786458332,0.0075547965467040665
1990,f219,4.009710232416789,15.0,52474.561197916664,0.00748050872588722
1990,f234,3.9217193126678467,20.666666666666668,47064.859375,0.00731635301267398
1990,f115,3.806992848714193,7.333333333333333,31416.309895833332,0.007102319512757399
1990,f27,3.662989775339762,45.0,45340.63671875,0.006833667619106039
1990,f29,3.58821972211202,11.0,18372.666341145832,0.006694176732437139
1990,f250,3.4974170525868735,11.666666666666666,73481.72005208333,0.0065247754235282646
1990,f238,3.304728349049886,10.333333333333334,30222.912109375,0.0061652956993987875
1990,f252,3.233480374018351,20.0,41449.901041666664,0.006032375595941847
1990,f151,3.208829402923584,5.0,48110.565104166664,0.005986386785357682
1990,f25,3.1536316871643066,25.0,40941.195963541664,0.005883410018845195
1990,f212,3.1492536067962646,7.333333333333333,63932.223958333336,0.005875242279408314
