year,feature,gain,weight,cover,gain_norm
1986,f209,18.110441207885746,8.666666666666666,86024.72135416667,0.0360213130380463
1986,f208,17.132280985514324,2.3333333333333335,64761.287760416664,0.0340757715039138
1986,f230,12.573525269826254,1.3333333333333333,67270.98828125,0.0250084956262129
1986,f211,12.374603271484377,10.666666666666666,57788.75390625,0.0246128436655469
1986,f231,12.355430285135904,3.6666666666666665,67952.76953125,0.0245747089710243
1986,f212,6.62958558400472,5.0,30814.786458333332,0.0131861159478528
1986,f183,5.20250678062439,5.333333333333333,30893.416015625,0.0103476841439859
1986,f175,4.968562920888265,12.0,49916.850260416664,0.009882374386584
1986,f102,4.3288164138793945,8.0,31439.009114583332,0.0086099311076246
1986,f148,4.2186916669209795,9.0,40745.22265625,0.0083908951416926
1986,f147,4.0884560743967695,2.0,24119.710286458332,0.0081318590976139
1986,f216,3.966806411743164,16.0,33193.848958333336,0.0078899002999723
1986,f22,3.798069715499878,68.33333333333333,42018.430989583336,0.0075542863142822
1986,f4,3.724118232727051,53.666666666666664,34831.016276041664,0.0074071982626986
1986,f107,3.676048517227173,4.333333333333333,22181.00390625,0.0073115885395673
1986,f119,3.5540732542673745,12.666666666666666,32375.126953125,0.0070689821292906
1986,f244,3.541880210240682,9.333333333333334,31280.279947916668,0.0070447304034088
1986,f228,3.426437775293986,11.333333333333334,22776.035807291668,0.0068151176601655
1986,f229,3.380952835083008,12.0,37710.05859375,0.0067246490044851
1986,f12,3.282485564549764,19.666666666666668,34276.240234375,0.0065287995309595
1986,f223,3.227516015370687,12.0,32958.469401041664,0.0064194661737094
1986,f193,3.106147130330404,8.666666666666666,29730.300130208332,0.0061780658372443
1986,f101,3.105906327565511,5.666666666666667,21789.141927083332,0.0061775868852588
1986,f233,3.0963045756022134,7.333333333333333,62846.893229166664,0.0061584891885647
1986,f214,3.0959579149881997,7.0,30610.093098958332,0.0061577996873896
1986,f202,3.0200002988179526,17.333333333333332,44101.080729166664,0.0060067214757499
1986,f8,2.8976856072743735,3.0,19304.6376953125,0.0057634399486646
1986,f30,2.8346806367238364,14.0,15471.818684895834,0.0056381242956056
1986,f40,2.8156922658284507,3.3333333333333335,28260.472005208332,0.0056003567976052
1986,f207,2.8131296634674072,9.666666666666666,47531.44921875,0.0055952598316738
1986,f219,2.787816286087036,13.0,27099.528645833332,0.0055449120195911
1986,f213,2.76531453927358,6.333333333333333,20293.916341145832,0.0055001564856664
1986,f11,2.763556798299154,12.666666666666666,25486.541015625,0.0054966603732773
1986,f112,2.755189259847006,4.0,10927.35791015625,0.0054800175030964
1986,f27,2.6765331427256265,42.666666666666664,30297.889973958332,0.0053235720258899
1986,f200,2.658194382985433,4.666666666666667,20363.106770833332,0.0052870965917606
1986,f90,2.6559243202209473,5.333333333333333,16753.856119791668,0.0052825814813601
1986,f179,2.610853989919027,16.666666666666668,31123.375,0.0051929374766725
1986,f157,2.600505828857422,8.0,20823.863606770832,0.0051723551868934
1986,f163,2.5983861287434897,18.333333333333332,38613.9921875,0.0051681391448614
1986,f186,2.589247941970825,22.666666666666668,53497.6640625,0.0051499634702569
1986,f25,2.5448484420776367,22.666666666666668,19206.831380208332,0.0050616537341204
1986,f172,2.5389400720596313,5.0,13230.8583984375,0.005049902101815
1986,f171,2.4913209279378257,13.666666666666666,37023.765625,0.0049551885563345
1986,f121,2.45947265625,6.666666666666667,23506.549479166668,0.0048918429673994
1986,f246,2.451908270517985,5.333333333333333,12770.590169270834,0.0048767975522565
1986,f222,2.449296315511068,3.3333333333333335,26248.862630208332,0.0048716024248786
1986,f206,2.4117014408111572,4.666666666666667,39135.900390625,0.0047968269550462
1986,f224,2.3948550621668496,10.0,28467.585286458332,0.0047633198377022
1986,f174,2.3696305751800537,9.0,9466.061686197916,0.0047131488268723
1986,f220,2.3014562924702964,7.666666666666667,34746.625651041664,0.0045775515131214
1986,f26,2.2722493012746177,16.0,11045.06640625,0.0045194593793803
1986,f173,2.272099256515503,10.333333333333334,12055.4345703125,0.0045191609432916
1986,f2,2.2685954570770264,4.333333333333333,15985.077473958334,0.0045121919547978
1986,f118,2.26168421904246,3.0,14308.084309895834,0.0044984456376393
1986,f167,2.2151927947998047,9.0,37260.08984375,0.0044059751049225
1986,f29,2.1917084058125815,15.666666666666666,19565.155598958332,0.0043592651149501
1986,f114,2.174067219098409,2.3333333333333335,17524.370768229168,0.0043241771399141
1986,f19,2.138335863749186,19.0,29182.751953125,0.0042531081735905
1986,f31,2.106487512588501,12.0,13796.791829427084,0.0041897624265855
1986,f28,2.0698118209838867,20.666666666666668,11880.861328125,0.004116815193936
1986,f81,2.0439703464508057,2.0,7925.683430989583,0.0040654170069545
1986,f187,2.0419023036956787,10.0,22273.6796875,0.0040613037103979
1986,f191,2.0296757221221924,3.3333333333333335,13987.607096354166,0.004036985278992
1986,f33,2.0286229848861694,14.666666666666666,15508.911458333334,0.0040348914052376
1986,f116,2.016664187113444,2.0,10864.616861979166,0.0040111055905694
1986,f185,2.0025136868158975,18.0,34445.205729166664,0.0039829605224835
1986,f21,1.997927228609721,27.0,38712.277994791664,0.0039738381468945
1986,f103,1.9915960629781089,6.0,42569.787760416664,0.0039612455823902
1986,f225,1.9666566451390584,5.0,10466.478434244793,0.0039116415685147
1986,f34,1.962296485900879,2.0,10123.42948404948,0.0039029692971431
1986,f149,1.955891768137614,1.6666666666666667,4538.850911458333,0.0038902304388887
1986,f44,1.950467586517334,10.0,28028.598958333332,0.0038794418478281
