feature,gain,gain_norm,weight,cover
f12,6.986388694246609,0.010624720631305411,18.241666666666667,182193.47228190105
f31,6.709012899796169,0.008779139821281232,41.61666666666667,159759.03255615235
f273,6.2918847717087845,0.007033812688167092,20.310344827586206,174313.27476764546
f292,6.037786653076393,0.006912069248996231,11.681159420289855,122893.36534936877
f299,5.881401983174411,0.0062145396189668325,14.424242424242424,143836.99437505548
f22,5.637156357367834,0.007711585496726225,79.50833333333333,145545.53639322918
f309,5.5486461170135986,0.0063906787257541385,26.77777777777778,181719.35683283728
f32,5.5145469496647515,0.007576994112653113,39.74166666666667,229982.97556152343
f316,5.433660344282786,0.006078971011735211,20.4,160812.83111979166
f301,5.423741554457044,0.006019399301780377,15.492063492063494,130431.61854189918
f4,5.359724817673365,0.007357282169884077,81.10833333333332,152699.58217773438
f291,5.338197013606196,0.006109146613720839,11.753623188405797,144218.18923640595
f257,5.315838485371833,0.0060831234782812325,10.53921568627451,156896.59931736367
f305,5.170081015617129,0.0056905344372596475,17.174603174603174,168589.52542162698
f318,5.092846563568822,0.005827109537584795,27.01851851851852,206383.69711642794
f274,5.076739742838103,0.005757894818369593,19.06896551724138,150019.7260959669
f155,5.071133852998416,0.005877955377181158,5.458333333333334,81619.42214152018
f275,5.013927034948065,0.005689304948043152,16.2183908045977,134953.4635416667
f289,4.995362102985382,0.005640997355581079,14.416666666666666,144624.9155883789
f282,4.91884927543593,0.0059381502564931745,13.777777777777779,147297.19532455632
f290,4.892479183017344,0.005685535500565,12.507246376811596,128166.6980245839
f319,4.8876524037785,0.005587813788893923,33.7037037037037,208054.67553710938
f308,4.83380206823349,0.0054783668398160545,19.45,168104.33193359376
f317,4.8122942348321285,0.005581474825579405,26.78333333333333,186438.8356730143
f258,4.744100522249937,0.005528367287816525,11.65625,122636.8490749995
f314,4.65809199810028,0.005176479135767645,25.133333333333333,172979.6993815104
f313,4.603590526183447,0.0050903151043351445,33.58333333333333,179432.37415364583
f270,4.4912613794721405,0.005425538936278313,18.79310344827586,139306.15687052408
f259,4.473459355533123,0.005363565229954372,13.40625,139387.68327585855
f272,4.44413991084044,0.005101472683827876,15.436781609195403,154817.396484375
f276,4.420622273423205,0.005040716962917217,14.620689655172415,139627.04888179383
