eom,ic_pearson,ic_spearman,best_iteration,n_train,n_features,scoring_year,train_end_year,long_ret,short_ret,qspread,net_qspread,turnover,n_long,n_short,n_universe
1986-01-31,0.08522661382613514,0.06686052332048162,3,149779,83,1986,1985,0.08149499433689836,0.03743995737878865,0.04405503695810971,0.04205503695810971,1.0,169,169,1692
1986-02-28,0.10664254488639235,0.09013357793325943,3,149779,83,1986,1985,0.06088397037058688,0.034353452815044205,0.026530517555542678,0.02503983134169709,0.7453431069227936,169,169,1698
1986-03-31,-0.014660472948498952,-0.022129379757823205,3,149779,83,1986,1985,-0.0061355899340116895,0.011291046486254364,-0.017426636420266053,-0.019307940459073795,0.9406520194038703,174,174,1745
1986-04-30,0.03811290904673825,0.04103318511809922,3,149779,83,1986,1985,0.0635041115964814,0.039732860335094024,0.02377125126138737,0.021803496177022333,0.9838775421825187,175,175,1756
1986-05-31,0.026416864398954902,0.02508445503005551,3,149779,83,1986,1985,0.006165568588054255,-0.007044307586349746,0.013209876174404,0.0115489961269299,0.8304400237370504,176,176,1765
1986-06-30,0.08753419984282218,0.07772306694356616,3,149779,83,1986,1985,-0.07310490336627562,-0.09816918105691193,0.025064277690636308,0.023254461857784695,0.9049079164258071,179,179,1798
1986-07-31,0.00046163600858934546,-0.026971527222394927,3,149779,83,1986,1985,0.03253349123275697,0.056361337603909434,-0.023827846371152463,-0.02574766249264883,0.9599080607481822,178,178,1789
1986-08-31,0.04312782878257127,0.027656727359617037,3,149779,83,1986,1985,-0.0673184243198994,-0.05810816248681071,-0.009210261833088693,-0.010882417463736046,0.8360778153236765,178,178,1786
1986-09-30,-0.032565762040618035,-0.017454956476220494,3,149779,83,1986,1985,0.04977227957112079,0.049183851676157256,0.0005884278949635363,-0.001665961463345863,1.1271946791546996,179,179,1797
1986-10-31,0.012224008787001793,0.02703477087707679,3,149779,83,1986,1985,0.006699560377625542,0.004613916547766471,0.002085643829859071,-0.0001443337800046845,1.1149888049318777,180,180,1802
1986-11-30,0.05612439058210577,0.026047216772798015,3,149779,83,1986,1985,-0.03212677828773208,-0.0498062614241256,0.017679483136393517,0.015809023486538135,0.9352298249276915,180,180,1805
1986-12-31,-0.0844797220057919,-0.05047548665126448,3,149779,83,1986,1985,0.11272104489666555,0.14126857878871377,-0.028547533892048213,-0.030440885540232283,0.9466758240920357,182,182,1823
1987-01-31,-0.1337462707911316,-0.10094497647619013,9,179922,89,1987,1986,0.043910137178283806,0.10235051816941379,-0.058440380991129984,-0.06059245822816716,1.0760386185185868,185,185,1857
1987-02-28,-0.0060415718943132935,0.03873052296493751,9,179922,89,1987,1986,0.013468711573880455,0.03890635286767065,-0.025437641293790194,-0.02721179714368151,0.8870779249456577,188,188,1880
1987-03-31,0.06471906197396461,0.045670132092848516,9,179922,89,1987,1986,-0.0051929741069629744,-0.03556556835563097,0.03037259424866799,0.028461376393855126,0.9556089274064324,193,193,1933
1987-04-30,0.018719526911134522,0.008188266374908213,9,179922,89,1987,1986,-0.0029735956414583945,-0.011991477761572724,0.00901788212011433,0.007185332584115328,0.9162747679995005,193,193,1936
1987-05-31,0.008656788146502394,0.03410717122196066,9,179922,89,1987,1986,0.024676675437438816,0.0221531625839769,0.0025235128534619178,0.0009856919622726714,0.7689104455946232,194,194,1942
1987-06-30,0.05121062815899941,0.062719810020488,9,179922,89,1987,1986,0.06494785579213043,0.05648102920034365,0.008466826591786776,0.006683665720118127,0.8915804358343248,196,196,1967
1987-07-31,0.01827149801608143,0.006127596336617448,9,179922,89,1987,1986,0.0268473160820156,0.039716064036580866,-0.012868747954565267,-0.01496884840260117,1.050050224017951,199,199,1993
1987-08-31,0.06897045237585413,0.09580171009932918,9,179922,89,1987,1986,-0.019096935366159678,-0.02470948184086203,0.005612546474702353,0.003776720796974282,0.9179128388640356,200,200,2004
1987-09-30,0.15813679099327568,0.16037491719838978,9,179922,89,1987,1986,-0.27862005452536154,-0.3183340484810392,0.03971399395567765,0.03766822071362926,1.0228866210241931,202,202,2026
1987-10-31,0.09410130965201997,0.09588122821090077,9,179922,89,1987,1986,-0.06136622179604269,-0.06222359985081144,0.000857378054768751,-0.0012919478363752346,1.0746629455719927,189,189,1894
1987-11-30,-0.09006713344806556,-0.09518409648922707,9,179922,89,1987,1986,0.0505263645092628,0.09001831890861808,-0.03949195439935528,-0.04211325245820492,1.3106490294248212,185,185,1857
1987-12-31,0.06463545367092861,0.08262107366340592,9,179922,89,1987,1986,0.05366212646139093,0.020293152359009428,0.0333689741023815,0.031205668265522013,1.0816529184297436,189,189,1897
1988-01-31,-0.09761776411105842,-0.10218471384759933,2,213202,80,1988,1987,0.06650638381626325,0.08873785026097038,-0.022231466444707124,-0.025001649142535425,1.385091348914151,192,192,1922
1988-02-29,-0.05591634453323866,-0.047428990245412264,2,213202,80,1988,1987,0.011767821849205905,0.024635916106587365,-0.01286809425738146,-0.014707208363299393,0.9195570529589663,194,194,1946
1988-03-31,0.019858522790400436,0.003416192601976941,2,213202,80,1988,1987,0.006386423626677571,0.008218276063700639,-0.0018318524370230672,-0.00399314981338093,1.0806486881789314,198,198,1980
1988-04-30,0.06157899778171465,0.07144261779544306,2,213202,80,1988,1987,-0.001984100639787411,-0.017368241414894542,0.01538414077510713,0.012770670894205863,1.3067349404506332,197,197,1973
1988-05-31,-0.012560857079246193,0.014011241518580058,2,213202,80,1988,1987,0.06731247608283414,0.06810307926599869,-0.0007906031831645538,-0.002627789954614715,0.9185933857250806,196,196,1969
1988-06-30,0.06700862714075223,0.10421501758955236,2,213202,80,1988,1987,-0.006926972063672932,-0.037612149588364736,0.030685177524691805,0.028553592165236077,1.065792679727864,199,199,1998
1988-07-31,0.10016231796468035,0.11720676696073837,2,213202,80,1988,1987,-0.019213070352354145,-0.04703203171540449,0.027818961363050343,0.025888973583111406,0.9649938899694679,199,199,1995
