,bidask,eqnpo_3m,ret_3_1,ret_6_1,ret_12_1,ret_12_7,seas_1_1an,nfna_gr1a,ocf_gr1a,fcf_gr1a,xido_at,nri_at,ocf_sale,fcf_sale,gp_at,cop_at,ope_be,ni_be,nix_be,ocf_be,fcf_be,gp_bev,ebitda_bev,ebit_bev,cop_bev,gp_ppen,ebitda_ppen,fcf_ppen,eqnpo_at,eqbb_at,ocf_cl,ocf_debt,lt_ppen,opex_at,inv_turnover,at_turnover,rec_turnover,ap_turnover,sale_bev,sale_be,sale_nwc,tax_pi,niq_be,niq_at,cop_atl1,pi_nix,ocf_at,ocf_at_chg1,at_be,at_me,be_me,debt_me,cash_me,sale_me,gp_me,ebitda_me,ebit_me,ope_me,ni_me,nix_me,cop_me,ocf_me,fcf_me,eqbb_me,eqnpo_me,ival_me,at_mev,bev_mev,be_mev,cash_mev,sale_mev,gp_mev,ebitda_mev,ebit_mev,cop_mev,ocf_mev,fcf_mev,debt_mev,debtlt_mev,debtst_mev,mispricing_mgmt,mispricing_perf,qmj_prof
1986-01-31,0,4,7,6,3,3,3,1,1,0,0,0,3,1,0,0,1,1,0,0,0,0,0,0,1,2,0,3,2,0,0,0,2,2,1,2,3,0,0,0,1,0,0,1,0,0,0,1,1,2,1,0,3,5,4,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,1,2,3,0,0,1,1,1,1,0,1,0,3
1986-02-28,0,4,7,6,3,3,3,1,1,0,0,0,3,1,0,0,1,1,0,0,0,0,0,0,1,2,0,3,2,0,0,0,2,2,1,2,3,0,0,0,1,0,0,1,0,0,0,1,1,2,1,0,3,5,4,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,1,2,3,0,0,1,1,1,1,0,1,0,3
1986-03-31,0,4,7,6,3,3,3,1,1,0,0,0,3,1,0,0,1,1,0,0,0,0,0,0,1,2,0,3,2,0,0,0,2,2,1,2,3,0,0,0,1,0,0,1,0,0,0,1,1,2,1,0,3,5,4,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,1,2,3,0,0,1,1,1,1,0,1,0,3
1986-04-30,0,4,7,6,3,3,3,1,1,0,0,0,3,1,0,0,1,1,0,0,0,0,0,0,1,2,0,3,2,0,0,0,2,2,1,2,3,0,0,0,1,0,0,1,0,0,0,1,1,2,1,0,3,5,4,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,1,2,3,0,0,1,1,1,1,0,1,0,3
1986-05-31,0,4,7,6,3,3,3,1,1,0,0,0,3,1,0,0,1,1,0,0,0,0,0,0,1,2,0,3,2,0,0,0,2,2,1,2,3,0,0,0,1,0,0,1,0,0,0,1,1,2,1,0,3,5,4,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,1,2,3,0,0,1,1,1,1,0,1,0,3
1986-06-30,0,4,7,6,3,3,3,1,1,0,0,0,3,1,0,0,1,1,0,0,0,0,0,0,1,2,0,3,2,0,0,0,2,2,1,2,3,0,0,0,1,0,0,1,0,0,0,1,1,2,1,0,3,5,4,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,1,2,3,0,0,1,1,1,1,0,1,0,3
1986-07-31,0,4,7,6,3,3,3,1,1,0,0,0,3,1,0,0,1,1,0,0,0,0,0,0,1,2,0,3,2,0,0,0,2,2,1,2,3,0,0,0,1,0,0,1,0,0,0,1,1,2,1,0,3,5,4,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,1,2,3,0,0,1,1,1,1,0,1,0,3
1986-08-31,0,4,7,6,3,3,3,1,1,0,0,0,3,1,0,0,1,1,0,0,0,0,0,0,1,2,0,3,2,0,0,0,2,2,1,2,3,0,0,0,1,0,0,1,0,0,0,1,1,2,1,0,3,5,4,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,1,2,3,0,0,1,1,1,1,0,1,0,3
1986-09-30,0,4,7,6,3,3,3,1,1,0,0,0,3,1,0,0,1,1,0,0,0,0,0,0,1,2,0,3,2,0,0,0,2,2,1,2,3,0,0,0,1,0,0,1,0,0,0,1,1,2,1,0,3,5,4,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,1,2,3,0,0,1,1,1,1,0,1,0,3
1986-10-31,0,4,7,6,3,3,3,1,1,0,0,0,3,1,0,0,1,1,0,0,0,0,0,0,1,2,0,3,2,0,0,0,2,2,1,2,3,0,0,0,1,0,0,1,0,0,0,1,1,2,1,0,3,5,4,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,1,2,3,0,0,1,1,1,1,0,1,0,3
1986-11-30,0,4,7,6,3,3,3,1,1,0,0,0,3,1,0,0,1,1,0,0,0,0,0,0,1,2,0,3,2,0,0,0,2,2,1,2,3,0,0,0,1,0,0,1,0,0,0,1,1,2,1,0,3,5,4,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,1,2,3,0,0,1,1,1,1,0,1,0,3
