eom,ic_pearson,ic_spearman,best_iteration,n_train,n_features,scoring_year,train_end_year,long_ret,short_ret,qspread,net_qspread,turnover,n_long,n_short,n_universe
1986-01-31,0.06865521509552049,0.09344461356114142,5,149779,83,1986,1985,0.07755032591739429,0.05587070308859671,0.021679622828797582,0.01967962282879758,1.0,169,169,1692
1986-02-28,0.1183194504491609,0.12720888860165414,5,149779,83,1986,1985,0.0662114335429912,0.031598526420048456,0.03461290712294274,0.03310519348387672,0.7538568195330085,169,169,1698
1986-03-31,-0.04909768111733624,-0.03699872657649009,5,149779,83,1986,1985,-0.020663310164454992,0.021628308720496245,-0.04229161888495124,-0.04386097026592311,0.7846756904859327,174,174,1745
1986-04-30,0.053778166303407246,0.06621750611815268,5,149779,83,1986,1985,0.06857779649643082,0.053765348322287784,0.01481244817414304,0.01323642281487469,0.7880126796341744,175,175,1756
1986-05-31,0.049410258812709766,0.03850973129170178,5,149779,83,1986,1985,0.01655045310241287,-0.013258337065105768,0.02980879016751864,0.02852594911062241,0.6414205284481158,176,176,1765
1986-06-30,0.0888373193293568,0.006311622886178085,5,149779,83,1986,1985,-0.08983553962780443,-0.11839195185729662,0.028556412229492192,0.026966856109552587,0.7947780599698028,179,179,1798
1986-07-31,0.01974952513948458,-0.035609232688825064,5,149779,83,1986,1985,0.03969213504500703,0.05624863349643673,-0.016556498451429702,-0.018151889106328974,0.7976953274496367,178,178,1789
1986-08-31,0.061073086420103624,0.011626029529413015,5,149779,83,1986,1985,-0.09034787818129261,-0.07324086463529922,-0.017107013545993394,-0.018717975793468854,0.8054811237377311,178,178,1786
1986-09-30,-0.052482408340792215,-0.024893265744181114,5,149779,83,1986,1985,0.04062900177958504,0.07543471861065013,-0.034805716831065085,-0.03671494714862942,0.9546151587821673,179,179,1797
1986-10-31,0.020051457322147984,0.014731672375761718,5,149779,83,1986,1985,0.010471243000046402,0.0055347455535291685,0.0049364974465172335,0.0030496249458087533,0.9434362503542402,180,180,1802
1986-11-30,0.04417059301974495,0.030043166444966265,5,149779,83,1986,1985,-0.03713552663849664,-0.03354879851306516,-0.003586728125431482,-0.005250282836701099,0.8317773556348085,180,180,1805
1986-12-31,-0.14401885027271752,-0.1106907929606817,5,149779,83,1986,1985,0.10134653769533791,0.16726276050192318,-0.06591622280658527,-0.06738335138086933,0.7335642871420299,182,182,1823
1987-01-31,-0.13197576086772678,-0.11229947594812023,13,179922,89,1987,1986,0.04543253071901204,0.10417336320718895,-0.05874083248817691,-0.0608858936627907,1.0725305873068964,185,185,1857
1987-02-28,-0.016567866613148585,0.060457607523705784,13,179922,89,1987,1986,0.010518200822084654,0.041217800311318095,-0.03069959948923344,-0.032122431013090126,0.7114157619283417,188,188,1880
1987-03-31,0.05572827513094079,0.06124993580267861,13,179922,89,1987,1986,-0.01150779251275502,-0.04542414441552192,0.0339163519027669,0.03225029580904313,0.8330280468618869,193,193,1933
