id,leg,weight,predicted_ret,realized_ret,eom
101126401,long,0.01545160534486529,0.014663798,0.1477109316,1986-01-31
100324601,long,0.001589316102121576,0.014663798,0.1182995056,1986-01-31
100640301,long,0.015450832325573502,0.014663798,0.021731027,1986-01-31
101169101,long,0.0027883422029543986,0.01467691,0.0494152462,1986-01-31
101049801,long,0.002554366143383135,0.0146924695,0.0274184107,1986-01-31
101032301,long,0.001206974395990405,0.014704353,0.1283997404,1986-01-31
100860601,long,0.01545160534486529,0.01471375,0.0944728536,1986-01-31
100192001,long,0.01545160534486529,0.014715318,0.1516002848,1986-01-31
100849601,long,0.0018196608053177993,0.0147253405,-0.040023243,1986-01-31
100175501,long,0.008098581423115906,0.014732875,0.0182334118,1986-01-31
100452302,long,0.0006116515146262245,0.014751222,0.0425742668,1986-01-31
101010901,long,0.0019189335672298777,0.014763097,-0.00744469,1986-01-31
100350501,long,0.00892282724695615,0.014763097,0.1280373333,1986-01-31
101169001,long,0.0007081416871673243,0.014776609,0.1237362581,1986-01-31
100518101,long,0.0011173209640306786,0.014776609,0.1375611429,1986-01-31
100821901,long,0.001975740682395326,0.014776609,0.0256833342,1986-01-31
100635101,long,0.0022556198791319456,0.014785357,0.274704,1986-01-31
100410801,long,0.0009546340126440042,0.014794528,0.0569352958,1986-01-31
100296001,long,0.0034861195499432565,0.014805771,0.117094661,1986-01-31
101088301,long,0.003444599171352344,0.0148219075,0.0926124926,1986-01-31
100615601,long,0.0009064267370996832,0.0148219075,-0.04069423,1986-01-31
100755801,long,0.0005216451814347125,0.014837399,-0.018901442,1986-01-31
100769101,long,0.001716438923110724,0.014862053,0.0154023792,1986-01-31
100468901,long,0.01545160534486529,0.01491223,0.0738706667,1986-01-31
100483901,long,0.01545160534486529,0.014913776,0.1404125828,1986-01-31
100384401,long,0.0010186153630120309,0.014922832,0.0192690568,1986-01-31
100507901,long,0.013117151501943779,0.014928451,0.0416838658,1986-01-31
100777301,long,0.011410088842391804,0.014932815,0.1398652903,1986-01-31
100507101,long,0.01545160534486529,0.014937622,0.1161614899,1986-01-31
100911201,long,0.0028791775713284066,0.014948865,0.090594411,1986-01-31
100690001,long,0.0007155217807682589,0.014948865,0.2635212043,1986-01-31
100764801,long,0.01545160534486529,0.014948865,0.0264042882,1986-01-31
100885201,long,0.01545160534486529,0.014948865,0.0646628477,1986-01-31
100732201,long,0.004755463440166849,0.014998427,0.0838512868,1986-01-31
101098301,long,0.01545160534486529,0.015002066,0.1382058849,1986-01-31
100717101,long,0.011844008333932834,0.015008498,0.0736996854,1986-01-31
100800701,long,0.01020954726647773,0.015020985,0.0716503332,1986-01-31
100787501,long,0.0026161997692160143,0.0150616765,0.0805312225,1986-01-31
100427301,long,0.0014893659065456492,0.0150616765,0.1406894015,1986-01-31
100922501,long,0.0033905298334054664,0.015062287,0.0130820838,1986-01-31
100365001,long,0.007901084796845278,0.015085759,0.0530840147,1986-01-31
101030101,long,0.01545160534486529,0.015088905,0.0921092243,1986-01-31
100391101,long,0.0050473034299671465,0.015132304,0.0359884037,1986-01-31
100469101,long,0.004192856851175338,0.015163252,-0.168339478,1986-01-31
100413401,long,0.0009774828944642791,0.015180926,0.071998686,1986-01-31
100443601,long,0.008365056017205818,0.015191259,0.1502595556,1986-01-31
100202401,long,0.01545160534486529,0.015226592,0.390743604,1986-01-31
100790301,long,0.0009168400911825199,0.015287549,0.094704,1986-01-31
100570901,long,0.0050582965485188236,0.015296443,0.1861933617,1986-01-31
100724101,long,0.01545160534486529,0.01532402,0.1145196682,1986-01-31
101110101,long,0.001422162242064577,0.01532402,0.1068116233,1986-01-31
100215401,long,0.0028760266774760152,0.01532402,0.1494020057,1986-01-31
100383701,long,0.0031958017919729814,0.01532951,-0.029250975,1986-01-31
100769201,long,0.0017799399372159194,0.015356237,0.1471203569,1986-01-31
100477101,long,0.0006720506487833988,0.015423319,0.134704,1986-01-31
100676501,long,0.01545160534486529,0.015423319,0.1370768814,1986-01-31
100324801,long,0.0014111467171566167,0.015437552,0.1151141686,1986-01-31
100419901,long,0.01545160534486529,0.015437552,0.1127851808,1986-01-31
100901301,long,0.0006946160385724405,0.015450449,0.2754057544,1986-01-31
100204901,long,0.0019955773096927147,0.015468857,0.0532624739,1986-01-31
100219701,long,0.0039380179454587,0.015487363,-0.039778759,1986-01-31
100197601,long,0.011671975131181334,0.01553954,-0.055716168,1986-01-31
100501301,long,0.0027027779298961245,0.015564176,-0.026572596,1986-01-31
101396101,long,0.00940726387298729,0.015586766,0.1629732308,1986-01-31
100323101,long,0.004508105673996079,0.015620635,0.0950276246,1986-01-31
100829901,long,0.00894467348208744,0.01570225,0.0630562204,1986-01-31
101425301,long,0.0006878415283743171,0.015706832,0.0355203265,1986-01-31
100953801,long,0.0015003296167547034,0.015714033,0.0169262222,1986-01-31
100183301,long,0.0004710936408642121,0.015717924,0.0153936552,1986-01-31
101088401,long,0.00417590623012245,0.015834032,-0.010398041,1986-01-31
100368901,long,0.002039997911025095,0.015900971,0.0936050989,1986-01-31
100572901,long,0.0010341303643412062,0.015933448,0.0035535575,1986-01-31
100523401,long,0.01545160534486529,0.016024588,0.0873976784,1986-01-31
101161401,long,0.001234415181571883,0.01617317,0.1077474783,1986-01-31
100346301,long,0.005125441405837352,0.016227104,-0.055928911,1986-01-31
100684501,long,0.00047442012212762054,0.016232125,0.0147515487,1986-01-31
100567201,long,0.0010284514839617224,0.016278863,0.031741037,1986-01-31
100250401,long,0.01545160534486529,0.0163832,0.0021251503,1986-01-31
101150601,long,0.009325858779814171,0.01638577,0.0153225567,1986-01-31
101135901,long,0.01545160534486529,0.01639083,0.2245890575,1986-01-31
100532101,long,0.01545160534486529,0.016429601,0.1396785947,1986-01-31
100480601,long,0.0006045374965061585,0.016439905,0.1171529796,1986-01-31
100124601,long,0.008613017359416346,0.01644016,0.1328334653,1986-01-31
101279603,long,0.0009757716090031137,0.016442565,0.1771857518,1986-01-31
100294301,long,0.01545160534486529,0.016515797,0.1864848219,1986-01-31
100483801,long,0.012168007046589274,0.016541867,0.0710398779,1986-01-31
101109401,long,0.000490800031215702,0.016606536,-0.086178353,1986-01-31
100243601,long,0.007307443791479323,0.016627604,0.0496490549,1986-01-31
100679901,long,0.013530824653639277,0.016684834,0.0291867586,1986-01-31
101100301,long,0.0015849780299998825,0.016828975,-0.161690391,1986-01-31
100650201,long,0.01545160534486529,0.016861659,0.0370564961,1986-01-31
100279202,long,0.002908185400332156,0.016881658,0.0147022641,1986-01-31
100747501,long,0.01545160534486529,0.016881658,-0.007501936,1986-01-31
100201401,long,0.013419913190035099,0.016918497,0.1685281309,1986-01-31
101163601,long,0.01545160534486529,0.016925057,0.0939257899,1986-01-31
100700301,long,0.01545160534486529,0.016935509,0.1035865215,1986-01-31
100494101,long,0.005388910737868016,0.016990915,0.1070392327,1986-01-31
100706601,long,0.0006734678511544365,0.017047824,-0.028551814,1986-01-31
100941101,long,0.01545160534486529,0.01708283,0.1386036141,1986-01-31
100847901,long,0.01545160534486529,0.017180106,0.082732169,1986-01-31
100518401,long,0.004718778633341406,0.01721998,0.2179678835,1986-01-31
100764601,long,0.0027763085892327987,0.017245136,0.0667604062,1986-01-31
100604101,long,0.0007710596262757418,0.01728799,0.213398447,1986-01-31
100462201,long,0.002391882734697895,0.01730021,0.0283664433,1986-01-31
101150301,long,0.000643699373934754,0.01737403,0.2601907257,1986-01-31
100859901,long,0.0006051956832219915,0.017413022,-0.030296,1986-01-31
100409101,long,0.0011966464705101393,0.017413022,0.0613706667,1986-01-31
100891201,long,0.0017608735284157819,0.017413022,0.0999420959,1986-01-31
100712701,long,0.01545160534486529,0.017422572,0.0270871385,1986-01-31
100875901,long,0.0006283932639619311,0.017437242,0.0914781935,1986-01-31
100845801,long,0.004864095057019163,0.017451495,0.1749365581,1986-01-31
100573501,long,0.01545160534486529,0.017489789,0.0442666822,1986-01-31
101156601,long,0.001006605556514516,0.017557468,-0.105296,1986-01-31
100279601,long,0.007340616584681136,0.01770532,-0.015213744,1986-01-31
100159301,long,0.001266205599946611,0.017770497,0.1772436825,1986-01-31
100361801,long,0.0012342975482013934,0.017786212,0.0656259858,1986-01-31
100177301,long,0.0012096127455631252,0.017843788,-0.079922866,1986-01-31
101149901,long,0.0017237658016154849,0.017931057,0.0294262222,1986-01-31
101669801,long,0.0008972401310233774,0.017935375,0.1672392113,1986-01-31
100522901,long,0.00914717088924642,0.017960433,0.2177620356,1986-01-31
100762001,long,0.009716121490385036,0.017960433,-0.065550286,1986-01-31
100577401,long,0.0008536443636816896,0.017960433,0.1516982419,1986-01-31
101101701,long,0.004577296497382693,0.017960433,0.0473355789,1986-01-31
100461102,long,0.01545160534486529,0.017960433,0.1110267017,1986-01-31
100179401,long,0.01198684045285764,0.017960433,0.1605480659,1986-01-31
100157301,long,0.01545160534486529,0.017987236,-0.009171969,1986-01-31
100546501,long,0.002560766443770209,0.018008975,0.024704,1986-01-31
101061801,long,0.0014952041627548137,0.018008975,0.114704,1986-01-31
100855101,long,0.002199721621793254,0.018008975,0.0290421467,1986-01-31
100454601,long,0.0013390038515122622,0.018073244,0.0884323927,1986-01-31
100364201,long,0.002030003275725309,0.018114949,0.0738828856,1986-01-31
100966701,long,0.01196829359144383,0.018202826,0.1700073898,1986-01-31
100928401,long,0.0011973060543743182,0.018205961,0.025954,1986-01-31
100791701,long,0.0007185942523736574,0.01821769,0.3793193846,1986-01-31
101096901,long,0.010770805485424707,0.018427528,0.054704,1986-01-31
100946601,long,0.0004978748382122715,0.018550424,-0.005296,1986-01-31
100124001,long,0.011966384849967916,0.018560104,0.0280405747,1986-01-31
101118501,long,0.00047861944800788004,0.01866666,0.0678747317,1986-01-31
101086901,long,0.0004993536577269939,0.018669922,0.0423230476,1986-01-31
100210102,long,0.0016497492083480207,0.018804094,0.2340441776,1986-01-31
100749501,long,0.0021820864299798505,0.018804094,-0.005436998,1986-01-31
100700701,long,0.0019494342197210269,0.018900802,-0.160468414,1986-01-31
100557401,long,0.0010594845568734491,0.018963272,0.0309734301,1986-01-31
100456901,long,0.0011564536652801125,0.019060336,0.1572655764,1986-01-31
100617901,long,0.0007976550805205955,0.019066012,0.0224817778,1986-01-31
100492601,long,0.00203783009605465,0.01908775,0.0010331139,1986-01-31
101062501,long,0.003603869153405758,0.01908775,0.1218226441,1986-01-31
100987202,long,0.01545160534486529,0.01908775,0.1485501538,1986-01-31
100935901,long,0.01545160534486529,0.019114554,-0.001871342,1986-01-31
100892601,long,0.0005062646182432391,0.019236496,0.0007646061,1986-01-31
100125701,long,0.0019137128862157819,0.019236496,-0.045031099,1986-01-31
100421301,long,0.006467727779022471,0.019556258,0.0675902974,1986-01-31
100525201,long,0.001271011763593522,0.019661603,0.4434219487,1986-01-31
100871101,long,0.0008408783421890672,0.019661603,-0.043573512,1986-01-31
100457901,long,0.0010357114128564727,0.019687422,-8.7667e-05,1986-01-31
100150001,long,0.0006260672041002323,0.019695245,0.1861933617,1986-01-31
100104301,long,0.0026522950071112663,0.019838836,0.3138529362,1986-01-31
100515101,long,0.00874546973379274,0.019896718,-0.048796371,1986-01-31
100403601,long,0.0015515841567536042,0.019896718,0.1580812609,1986-01-31
101017301,long,0.00047907870608480583,0.019909985,-0.084579107,1986-01-31
100713501,long,0.0006023108648504686,0.019923521,0.032466946,1986-01-31
100657301,long,0.0016796235021283744,0.019931411,0.2109202162,1986-01-31
100404901,long,0.0013046044930277543,0.020080157,0.1167631834,1986-01-31
100123901,long,0.002436691245849373,0.020080157,0.214704,1986-01-31
100158101,long,0.01545160534486529,0.02040837,0.0531835322,1986-01-31
100302201,long,0.01545160534486529,0.020738782,0.2250563035,1986-01-31
101158401,long,0.01545160534486529,0.020740379,0.0903215299,1986-01-31
101034501,long,0.0005994232453147055,0.021185735,0.013108908,1986-01-31
100172801,long,0.000521477133762585,0.02124469,0.1959618616,1986-01-31
100924801,short,-0.010165648257804395,-0.009654726,-0.082219077,1986-01-31
100727601,short,-0.012420147562405847,-0.0058299415,0.0143118431,1986-01-31
101113501,short,-0.0015024529513673567,-0.004523568,0.173552097,1986-01-31
100938601,short,-0.0019179964072010825,-0.0036649958,-0.057379333,1986-01-31
101196101,short,-0.0022374574440950958,-0.002948292,-0.066834462,1986-01-31
100652701,short,-0.0014209775213114002,-0.002913112,0.250704,1986-01-31
100222501,short,-0.0050271544229079975,-0.0025024423,-0.051592296,1986-01-31
101175301,short,-0.003334809788789803,-0.0024148664,-0.017060706,1986-01-31
100370501,short,-0.008456935317688315,-0.0018283667,0.1375611429,1986-01-31
101004401,short,-0.0014343131548070587,-0.0017831114,0.1434643306,1986-01-31
100825801,short,-0.004786288592266878,-0.0016465937,-0.020799876,1986-01-31
100300701,short,-0.00300970280640313,-0.0015711999,0.0539145263,1986-01-31
100816401,short,-0.005976713608018456,-0.0015711999,-0.118698062,1986-01-31
100872401,short,-0.0017435217413483593,-0.0010963735,0.3518468571,1986-01-31
100218401,short,-0.0017405990532615772,-0.0009257904,0.2604697658,1986-01-31
101055201,short,-0.0021136642989419857,-0.00054396834,-0.301592296,1986-01-31
100166401,short,-0.004893405364336057,-0.00053634297,0.1455414292,1986-01-31
100999901,short,-0.005109295905616941,-0.00040557646,0.1176548197,1986-01-31
100610901,short,-0.0027879048562355403,-0.00040207972,0.2299981176,1986-01-31
100187801,short,-0.0050234562716572565,-0.00035410502,0.1723689746,1986-01-31
100944101,short,-0.002816442130158089,-0.00030723013,0.0613706667,1986-01-31
100685601,short,-0.012420147562405847,-0.0002883948,0.2539632593,1986-01-31
100116101,short,-0.012420147562405847,-0.00012098215,0.1316903014,1986-01-31
101139901,short,-0.007097807779993325,-6.358308e-05,-0.056842392,1986-01-31
100255301,short,-0.0031141926651509404,7.185497e-05,0.0613706667,1986-01-31
101042001,short,-0.004302369933941083,0.00025458488,0.0760993488,1986-01-31
100216301,short,-0.0012892575383971264,0.00028648105,-0.348433255,1986-01-31
100347801,short,-0.001538620763801239,0.0003689159,-0.175508766,1986-01-31
101179801,short,-0.0018130205491102593,0.00037769706,0.2030373333,1986-01-31
100900401,short,-0.012420147562405847,0.0004446536,0.1475424279,1986-01-31
100340902,short,-0.005474713544003088,0.0004620605,0.0242548548,1986-01-31
