scoring_year,factor,sharpe,selected
1986,me_company,-1.1054095783555251,False
1986,prc,-0.27191950773938317,False
1986,prc_local,-0.27191950773938317,False
1986,dolvol,-1.026925549870874,False
1986,ret,-3.0270143925464352,False
1986,enterprise_value,-0.9596117876980026,False
1986,book_equity,-0.3563727063786497,False
1986,assets,-0.060680647134505925,False
1986,sales,0.13519266610040587,False
1986,net_income,0.35811909021165544,False
1986,bidask,0.9234664710518595,False
1986,prc_high,-0.22058991453631832,False
1986,prc_low,-0.0398281650952253,False
1986,tvol,-0.9751107555378232,False
1986,chcsho_1m,0.7782048398079904,False
1986,chcsho_3m,-1.044125637154548,False
1986,chcsho_6m,-1.4605486564795818,False
1986,chcsho_12m,-1.8587738949384203,False
1986,eqnpo_1m,-0.2620903245051848,False
1986,eqnpo_3m,0.8451558334188132,False
1986,eqnpo_6m,0.5749079435187745,False
1986,eqnpo_12m,0.44668779019099386,False
1986,ret_1_0,-3.0402156445962216,False
1986,ret_2_0,-1.5078317423585836,False
1986,ret_3_0,-0.677204208861902,False
1986,ret_3_1,0.9653785917664414,False
1986,ret_6_0,0.536887690879455,False
1986,ret_6_1,1.4398602657150366,True
1986,ret_9_0,0.2503729147571992,False
1986,ret_9_1,0.763064097778363,False
1986,ret_12_0,0.4818491455869622,False
1986,ret_12_1,1.1469602977367157,True
1986,ret_12_7,0.972285982223487,False
1986,seas_1_1an,1.02156244625401,True
1986,at_gr1,-0.8323397977643041,False
1986,ca_gr1,-0.21862688170869382,False
1986,nca_gr1,-1.2085999108447072,False
1986,lt_gr1,-1.2404976274640849,False
1986,cl_gr1,-0.6108207998907739,False
1986,ncl_gr1,-2.0790278601020673,False
1986,be_gr1,-0.32150939849294846,False
1986,debt_gr1,-2.049917931766382,False
1986,sale_gr1,-0.17042538652926573,False
1986,cogs_gr1,-0.6815294515647046,False
1986,opex_gr1,-0.6827214101098649,False
1986,capx_gr1,-0.849163541485678,False
1986,inv_gr1,-1.3105075365117187,False
1986,cash_gr1a,0.6499372844900904,False
1986,inv_gr1a,-1.5172838012486338,False
1986,rec_gr1a,-0.2507993283374154,False
1986,ppeg_gr1a,-1.6150120204790586,False
1986,lti_gr1a,0.5155518624058021,False
1986,debtst_gr1a,-0.9189084320715055,False
1986,ap_gr1a,0.6048267730517937,False
1986,txp_gr1a,0.7625563296805631,False
1986,debtlt_gr1a,-1.9481850902277413,False
1986,txditc_gr1a,0.04745179930847513,False
1986,coa_gr1a,-1.01100797864562,False
1986,col_gr1a,0.6336869002859433,False
1986,cowc_gr1a,-2.1373554654072104,False
1986,ncoa_gr1a,-1.072468860698762,False
1986,ncol_gr1a,0.40061270260563553,False
1986,nncoa_gr1a,-1.336674647032468,False
1986,oa_gr1a,-1.1579476349238014,False
1986,ol_gr1a,0.40363379875634364,False
1986,fna_gr1a,0.03223149969886069,False
1986,fnl_gr1a,-1.1730296322240283,False
1986,nfna_gr1a,1.2134614026489117,True
1986,gp_gr1a,0.39867921159966885,False
1986,ebitda_gr1a,0.29840842438683385,False
