eom,ic_pearson,ic_spearman,alpha,n_nonzero,n_active,n_total_cols,n_train,long_ret,short_ret,qspread,net_qspread,turnover,n_long,n_short,n_universe
1981-02-28,-0.11846196454289304,-0.01913787294659299,0.001763287838090462,27,135,320,2675,0.05935762232209738,0.0840724144153558,-0.02471479209325842,-0.026714792093258423,1.0,267,267,2678
1981-03-31,,,0.010702675384991634,0,143,320,5353,0.020134629875836432,0.011276455906691452,0.00885817396914498,0.00706635240780669,0.895910780669145,269,269,2690
1981-04-30,2.4546404326936914e-17,,0.010296784162540368,0,144,320,8043,0.02114839404795539,0.03105410165539034,-0.00990570760743495,-0.009968904633457254,0.03159851301115241,269,269,2696
1981-05-31,0.05534689704968171,-0.0983452223792548,0.0016189478955858318,41,238,320,10739,-0.04521538730222223,-0.02945163137703704,-0.01576375592518519,-0.01752301518444445,0.8796296296296297,270,270,2706
1981-06-30,,,0.009896069439221099,0,240,320,13445,-0.038670519153874545,-0.025173216183394832,-0.013497302970479713,-0.015257450571955728,0.8800738007380073,271,271,2714
1981-07-31,0.11657070153957483,0.17719101826020545,0.0005158542792283934,94,240,320,16159,-0.06552878415183824,-0.1199365420985294,0.05440775794669116,0.05266143441727939,0.8731617647058824,272,272,2723
1981-08-31,0.07855684890654899,0.09986694703625981,0.0007256850176471224,75,246,320,18882,-0.09265206461360294,-0.11996890134816178,0.02731683673455884,0.02634257202867649,0.48713235294117646,272,272,2721
1981-09-30,-0.11738776545673811,-0.13801104561703445,0.0006243481350251648,85,246,320,21603,0.04821484413542436,0.10303414271365313,-0.05481929857822877,-0.05551671555239852,0.3487084870848709,271,271,2718
1981-10-31,0.019718680634871637,0.07788085292864065,0.0003631888319266403,115,246,320,24321,0.03840334209117647,0.012019304466544116,0.026384037624632352,0.025152419977573528,0.6158088235294117,272,272,2721
1981-11-30,,,0.01119032763975383,0,248,320,27042,-0.02189875312610294,-0.03477654556691176,0.012877792440808819,0.01112779244080882,0.875,272,272,2722
1981-12-31,0.0727697322012759,0.114531851162109,0.0005083883716509939,96,248,320,29764,-0.0040992996941818195,-0.05357758173272727,0.04947828203854545,0.047707372947636356,0.8854545454545455,275,275,2759
1982-01-31,0.0682261850870663,-0.01743727604751798,0.003648548013356352,8,248,320,32523,-0.031022444685559567,-0.058791033146570394,0.027768588461010827,0.02671804694476534,0.5252707581227437,277,277,2773
1982-02-28,0.06092155355763211,0.12991666251743897,0.0007913438927648086,9,26,320,35296,-0.004205058819927536,-0.03564967645144928,0.031444617631521746,0.03021273357355073,0.6159420289855073,276,276,2761
