,value
gross_ann_ret,0.1243
gross_ann_vol,0.1219
gross_sharpe,1.0195
gross_max_dd,-0.2507
gross_win_rate,0.6611
net_ann_ret,0.117
net_ann_vol,0.1219
net_sharpe,0.96
net_max_dd,-0.2613
net_win_rate,0.6536
ic_mean_pearson,0.0172
ic_mean_spearman,0.0239
icir_pearson,0.8898
icir_spearman,1.0462
n_months,537.0
tc_bps,10.0
