eom,ic_pearson,ic_spearman,alpha,n_nonzero,n_train,long_ret,short_ret,qspread,net_qspread,turnover,n_long,n_short,n_universe
1990-01-31,-0.02167394164287368,-0.08663503058375609,0.003967067216660575,35,2993,0.00344529385083612,0.02286447203946488,-0.01941917818862876,-0.021419178188628762,1.0,299,299,2993
1990-02-28,-0.0006515761025530631,0.09532888682878748,0.0043127342837366795,14,2993,0.0291634784451505,0.02146488925284281,0.007698589192307689,0.005865813272575248,0.9163879598662208,299,299,2993
1990-03-31,0.023285331338122425,0.13837389433419192,0.008002218071442376,4,2993,-0.016875168690301003,-0.04937612515083612,0.03250095646053512,0.03091901666120402,0.7909698996655519,299,299,2996
1990-04-30,0.02648368466501278,-0.0046020273329588374,0.004914126949497534,20,2996,0.050698099123588046,0.04231676821594685,0.008381330907641198,0.007168706322923589,0.606312292358804,301,301,3019
1990-05-31,0.038913464015774224,0.08763256652393324,0.004203820067700881,28,3019,0.01365109107715232,-0.019367969593377485,0.0330190606705298,0.03118793484271523,0.9155629139072847,302,302,3029
1990-06-30,0.020864534272097283,0.06588280847342706,0.006430821468211713,12,3029,-0.038187162852960525,-0.05720430127532895,0.019017138422368428,0.01765200684342106,0.6825657894736843,304,304,3046
1990-07-31,0.09033234046209229,0.18523734605684347,0.0051188851499517195,20,3046,-0.07387060035049181,-0.12126948797836065,0.04739888762786884,0.04576610074262294,0.8163934426229509,305,305,3058
1990-08-31,0.13664379481646116,0.22593897553839742,0.004293658811072275,37,3058,-0.014520991790522875,-0.12615015268267973,0.11162916089215685,0.11016184063071895,0.7336601307189543,306,306,3061
1990-09-30,0.049193540071231376,0.08157220851187118,0.003950642314293296,38,3061,-0.06739750486470589,-0.09477712843496733,0.02737962357026144,0.026069166053921573,0.6552287581699346,306,306,3061
1990-10-31,-0.021025536138984134,0.027616905570347332,0.0056104358648689815,23,3061,0.054640586892810455,0.05108615660718954,0.003554430285620913,0.0021622734228758152,0.696078431372549,306,306,3064
1990-11-30,0.13084042308207988,0.13967843990958043,0.0036808255586960083,67,3064,0.019424893462745098,-0.03378835740098039,0.05321325086372549,0.051507368510784315,0.8529411764705883,306,306,3062
1990-12-31,-0.19594100208139534,-0.023416693637071516,0.008407540382608944,16,3062,0.0752948947372549,0.12019304543431372,-0.044898150697058825,-0.04660730102385621,0.8545751633986929,306,306,3069
1991-01-31,0.022696675982956025,0.2503138546701662,0.003959158749131892,53,3069,0.188617797872549,0.0514019855379085,0.1372158123346405,0.13536940710588233,0.923202614379085,306,306,3067
1991-02-28,0.1274668288010155,0.0827941465061078,0.005202916373332106,40,3067,0.09819287826384364,0.05354128543648209,0.04465159282736155,0.043283514651465786,0.6840390879478828,307,307,3079
1991-03-31,0.04233474369524502,0.03073931951644104,0.005883715086904626,28,3079,0.03433640151488673,0.005763688661812299,0.028572712853074434,0.027003133565048545,0.7847896440129449,309,309,3094
1991-04-30,0.01663065264749722,-0.018612294696796827,0.003504004292834556,43,3094,0.030696561486451612,0.01886171834322581,0.011834843143225804,0.010238068949677416,0.7983870967741935,310,310,3109
1991-05-31,-0.030468325830211234,-0.06853731591024156,0.0052288508196423064,19,3109,-0.055500370316720254,-0.05190512866559485,-0.0035952416511254026,-0.005328360622186496,0.8665594855305466,311,311,3117
1991-06-30,-0.07744562445388257,-0.14647182155092867,0.0036800253833325423,32,3117,0.0035188119089456854,0.0760000525341853,-0.07248124062523963,-0.07424162401182109,0.8801916932907348,313,313,3130
1991-07-31,0.035153222023192814,0.045284965725583305,0.00644048114629079,13,3130,0.03945808652920635,0.00977908175936508,0.02967900476984127,0.027805988896825395,0.9365079365079365,315,315,3152
1991-08-31,0.12315693800734037,0.029482029591085045,0.007197615902584468,12,3152,0.016495503949206347,-0.03719189850158731,0.053687402450793655,0.05194137070476191,0.873015873015873,315,315,3157
1991-09-30,0.04583477314867036,0.04084157679030043,0.0036714977919832716,45,3157,0.04545826914150944,0.010864440398742138,0.0345938287427673,0.03338313691886793,0.6053459119496856,318,318,3180
1991-10-31,-0.002837061806016763,-0.11097356269336704,0.006402465886700031,16,3180,-0.06658678622625,-0.0197314041934375,-0.046855382032812504,-0.0483741320328125,0.7593749999999999,320,320,3200
1991-11-30,-0.08385930243738325,-0.18043450035261263,0.007646773590799064,9,3200,-0.008267908592857141,0.054801923054658384,-0.06306983164751552,-0.06495181922515528,0.9409937888198758,322,322,3225
1991-12-31,-0.21117763438695564,-0.14756728415273462,0.004004875617703376,49,3225,0.06642275832321981,0.1744617077154799,-0.10803894939226008,-0.10988105465541798,0.9210526315789473,323,323,3231
1992-01-31,0.13741873352543607,0.131229651686016,0.004806313978524132,57,3231,0.1177655515386503,0.007676087498773007,0.1100894640398773,0.10821216342638036,0.9386503067484663,326,326,3269
1992-02-29,-0.024616027633499314,0.06244820018726828,0.0034345620195665974,54,3269,0.005929992591158537,-0.03949278363597561,0.04542277622713414,0.04424594695884146,0.5884146341463414,328,328,3289
1992-03-31,0.1378569875166182,0.18769231634201672,0.005965949202916699,20,3289,0.001976666092855555,-0.08589867461291291,0.08787534070576847,0.08641888424931202,0.7282282282282282,333,333,3333
1992-04-30,0.03321567776048703,0.10355616584303971,0.0036564982633221802,40,3333,0.014138830715615619,-0.016551690875675675,0.030690521591291292,0.02944727834804805,0.6216216216216217,333,333,3339
1992-05-31,0.011742665736195316,0.04187078495339686,0.006378698540901331,11,3339,-0.03152222517761194,-0.039445533378805964,0.007923308201194024,0.006287487305671635,0.817910447761194,335,335,3355
1992-06-30,0.06747616812793274,0.0511989700834572,0.008369972890110981,9,3355,0.04544827090739645,0.02296896576301775,0.022479305144378698,0.021056228221301775,0.7115384615384616,338,338,3388
1992-07-31,-0.006317586879307309,0.07683460884670046,0.012190123766998002,1,3388,-0.009877309006489676,-0.03378461360914454,0.02390730460265486,0.02202234885044247,0.9424778761061947,339,339,3398
1992-08-31,-0.03202515449152295,0.020847944428037786,0.0045082045218447055,29,3398,0.020039366944574782,0.0039596240272727285,0.016079742917302055,0.014261561099120237,0.9090909090909091,341,341,3412
1992-09-30,4.212419058168391e-17,,0.013353999001423731,0,3412,0.0058449621440233215,0.01413878939387755,-0.008293827249854228,-0.010098491972886297,0.902332361516035,343,343,3433
1992-10-31,0.007604440079172455,0.19850756560084318,0.004469844026063934,30,3433,0.11324017292383722,0.02675810801598837,0.08648206490784885,0.08468264630319769,0.8997093023255813,344,344,3440
1992-11-30,0.02818707182789128,-0.0007222295606055407,0.003376423145802704,55,3440,0.0338234425831884,0.0392460760057971,-0.005422633422608694,-0.006767560958840579,0.672463768115942,345,345,3454
1992-12-31,-0.13607543870926897,0.21847116771161607,0.0033371073457191345,42,3454,0.12695460240948275,0.012388616752298852,0.1145659856571839,0.11292518105948275,0.8204022988505748,348,348,3484
1993-01-31,0.15388480594448517,0.06988656680983453,0.007491181728540857,11,3484,0.029638166090571433,-0.022980078205428574,0.05261824429600001,0.051243958581714294,0.6871428571428572,350,350,3500
1993-02-28,0.000769640855205563,0.07122726617537858,0.003863017251001356,35,3500,0.04322799144843305,0.01573802075527066,0.027489970693162388,0.0259002271034188,0.7948717948717949,351,351,3512
1993-03-31,-0.06920388992340294,0.08581865991515392,0.0040997244231142805,28,3512,-0.0021448246140449443,-0.028035865837921347,0.025891041223876404,0.02438261425758427,0.7542134831460674,356,356,3568
1993-04-30,-0.018354278524989494,-0.07553877862804481,0.0048473160746324885,26,3568,0.02741071710865922,0.04316731051843575,-0.01575659340977653,-0.017385085029888264,0.8142458100558658,358,358,3581
1993-05-31,-0.013369693510043077,-0.06352236052241932,0.0023040120601805457,67,3581,-0.001607443450277778,0.016558501825555558,-0.018165945275833335,-0.02001872305361111,0.9263888888888889,360,360,3605
1993-06-30,1.0920924217659611e-16,,0.011750122047636776,0,3605,0.010036491379452056,0.020685932059178087,-0.01064944067972603,-0.012422043419452057,0.8863013698630138,365,365,3651
1993-07-31,0.0031729148470331803,0.00483223044502761,0.004976635412952399,25,3651,0.053473587603814716,0.023983884471662126,0.02948970313215259,0.027631392505449593,0.9291553133514987,367,367,3673
1993-08-31,0.07426169423523653,0.13919311855172772,0.007073352912842811,9,3673,0.04240295189322493,0.010745091077235772,0.03165786081598916,0.03016734591084011,0.7452574525745257,369,369,3693
1993-09-30,0.004722911702296038,0.035251310850105425,0.003273523619798177,31,3693,0.041227496699731185,0.02908567943064516,0.012141817269086023,0.01052622587123656,0.8077956989247312,372,372,3729
1993-10-31,0.08541169262724708,0.1004633595361755,0.004793935265970702,22,3729,-0.007902973042399999,-0.04171788480426668,0.03381491176186668,0.032017578428533346,0.8986666666666667,375,375,3755
1993-11-30,0.042724981843626525,0.022151989974178107,0.002760861941697299,49,3755,0.010882678493386243,-0.006263994707407407,0.01714667320079365,0.015564662618783068,0.7910052910052909,378,378,3783
1993-12-31,-0.12449287341406332,-0.027586178209649394,0.00392060793543659,23,3783,0.03970121111506494,0.060561581326233765,-0.02086037021116883,-0.022538292289090905,0.8389610389610389,385,385,3854
1994-01-31,0.08549922764812663,0.07002777907049018,0.005490075706243303,16,3854,0.017900297566149873,-0.01612710237596899,0.03402739994211886,0.032143679011886306,0.9418604651162791,387,387,3878
1994-02-28,-0.0014537100459973407,0.02264549454365035,0.004248389770044319,18,3878,-0.040977963396923084,-0.050845305945128205,0.009867342548205121,0.008208368189230762,0.8294871794871795,390,390,3902
1994-03-31,0.029576463539169675,0.0680866858198323,0.0031851258478042058,30,3902,-0.00010681109365482355,-0.02675155854898477,0.026644747455329944,0.024962006338578674,0.8413705583756346,394,394,3941
1994-04-30,0.032389461032755945,0.013868752469765624,0.007169328893055126,4,3941,-0.006242434355919395,-0.012558643558438288,0.006316209202518893,0.004787241948110832,0.7644836272040302,397,397,3970
1994-05-31,-0.0368550038149101,0.20769345913915396,0.003366290483434426,34,3970,0.028967148495739347,-0.06129151497869674,0.09025866347443609,0.08848422738421052,0.8872180451127819,399,399,3992
1994-06-30,-0.009852598102534808,-0.03192678685789816,0.002003815574207059,54,3992,0.008212570944278607,0.013371882183582092,-0.005159311239303485,-0.006059808751741296,0.4502487562189054,402,402,4027
1994-07-31,0.05974510592270675,0.1056528641220477,0.005625016266714885,10,4027,0.07780692174800995,0.0362529845840796,0.04155393716393035,0.03977533019875622,0.8893034825870647,402,402,4023
1994-08-31,0.011588192121316312,0.0820222824149094,0.004266195368908934,26,4023,0.026029527953846155,0.0028033150595533486,0.023226212894292806,0.02178700693895782,0.7196029776674938,403,403,4036
1994-09-30,0.03854580915297841,0.07704912779372089,0.003017233668530984,31,4036,0.01983038340960591,-0.007669159801970445,0.027499543211576355,0.025977375723891624,0.7610837438423645,406,406,4063
1994-10-31,0.028961338985596972,0.07692661415954379,0.003677008634305469,28,4063,-0.023325438963636362,-0.047235571354054054,0.023910132390417692,0.022435930916216217,0.7371007371007371,407,407,4072
1994-11-30,0.006737263862146909,0.023712735618818537,0.0040363764589605436,14,4072,-0.005795249573774509,-0.021529069823284314,0.015733820249509804,0.014273035935784315,0.7303921568627452,408,408,4083
1994-12-31,-0.08620335138298785,-0.0077839936060623725,0.0033044020561106024,40,4083,0.007138477727696077,0.03486677171299019,-0.027728293985294115,-0.02942682339705882,0.8492647058823529,408,408,4080
1995-01-31,0.03269948591631917,0.06507213756434978,0.00300527896483135,36,4080,0.05546339806243903,0.022447675351951222,0.033015722710487805,0.03122060075926829,0.897560975609756,410,410,4101
1995-02-28,5.195174158414525e-18,,0.009532450830305956,0,4101,0.01749227261292683,0.006710854066341463,0.010781418546585368,0.008964345375853661,0.9085365853658537,410,410,4109
